case_id,artifact_type,research_unit_id,counterfactual_semantic_class,artifact_path,review_status,notes
SWAP-GM_RM017_PV003-AROUND-GM_RM017_PV002|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,SWAP-GM_RM017_PV003-AROUND-GM_RM017_PV002,IDENTITY_NEGATIVE_CLASS_POSITIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\SWAP-GM_RM017_PV003-AROUND-GM_RM017_PV002\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
CLASS-NEGATIVE-S1L-BG-0010|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,CLASS-NEGATIVE-S1L-BG-0010,VEHICLE_CLASS_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\CLASS-NEGATIVE-S1L-BG-0010\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
CLASS-NEGATIVE-S1L-BG-0011|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,CLASS-NEGATIVE-S1L-BG-0011,VEHICLE_CLASS_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\CLASS-NEGATIVE-S1L-BG-0011\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
CLASS-NEGATIVE-S1L-BG-OCS-B3-SA35N|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,CLASS-NEGATIVE-S1L-BG-OCS-B3-SA35N,VEHICLE_CLASS_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\CLASS-NEGATIVE-S1L-BG-OCS-B3-SA35N\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
CLASS-NEGATIVE-S1L-BG-OCS-B4-FX88|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,CLASS-NEGATIVE-S1L-BG-OCS-B4-FX88,VEHICLE_CLASS_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\CLASS-NEGATIVE-S1L-BG-OCS-B4-FX88\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV002-SEG02|TEMPORAL_SHUFFLE|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV002-SEG02|TEMPORAL_SHUFFLE,TEMPORAL_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02__TEMPORAL_SHUFFLE\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV002-SEG02|TEMPORAL_REVERSE|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV002-SEG02|TEMPORAL_REVERSE,TEMPORAL_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02__TEMPORAL_REVERSE\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV002-SEG02|TRAJECTORY_TIME_SHIFT_P8|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV002-SEG02|TRAJECTORY_TIME_SHIFT_P8,TEMPORAL_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02__TRAJECTORY_TIME_SHIFT_P8\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
S0MV-GM_RM017-PV002-SEG02|CENTER_PHASE_SHIFT_P8|EQUAL_SUPPORT,equal_support_four_representation_mean_fields,S0MV-GM_RM017-PV002-SEG02|CENTER_PHASE_SHIFT_P8,TEMPORAL_NEGATIVE,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\S0MV-GM_RM017-PV002-SEG02__CENTER_PHASE_SHIFT_P8\equal_support_four_representation_mean_fields.png,directly_reviewed_complete,"same window, grid, density, mask rule and gray input; two normalization paths shown separately"
GLOBAL|PAIR_SET_SPARSITY,pair_set_sparsity_audit,GLOBAL,MIXED_REGISTRY_SUMMARY,D:\profile\research\workspace\output\oty2_s1l_optical_conditioned_support_observability_20260716\visual_casebook\pair_set_sparsity_audit.png,directly_reviewed_complete,"pair counts are evidence support, not independent sample size"
