component_card_id,case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,alpha_deg,beta_deg,radius_px,theta_deg,optical_pose_review,identifiability_status,component_role,component_instance_label,source_role,source_geometry_type,source_points_sar_px,overlay_status,raw_gray_visibility,display_dependency,vehicle_uv_centroid_px,vehicle_uv_range_px,radar_rhotau_centroid_px,main_orientation_to_u_deg,approx_length_px,approx_width_px,approx_length_m_grid,approx_width_m_grid,touches_gt_boundary,crosses_gt_boundary,extends_beyond_vehicle_length,cross_frame_correspondence,vehicle_body_explanation,vehicle_ground_explanation,background_explanation,responsibility_status,evidence_figure,source_note,gt_usage_boundary
CC_GM_RM017_PV002_S0339_RBC_0,ELIG_GM_RM017_PV002_S0339,GM_RM017,GM_RM017:PV002,163,339,87.527571,2.472429,327.583989,-7.472429,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1101.398,987.798;1143.398,993.798;1149.398,1105.798;1115.398,1115.798",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[12.017,46.223]","u[-8.393,32.924];v[-18.803,109.930]","[46.699,-10.012]",89.923,41.317,128.733,1.240,3.862,false,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0339_ECC_1,ELIG_GM_RM017_PV002_S0339,GM_RM017,GM_RM017:PV002,163,339,87.527571,2.472429,327.583989,-7.472429,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,ENDPOINT_EXTERNAL_CLUTTER_CLUSTER,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1223.398,1025.798;1281.398,1023.798;1289.398,1083.798;1227.398,1075.798",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[139.399,58.873]","u[109.458,170.525];v[29.685,93.217]","[64.832,-136.730]",35.405,61.067,63.532,1.832,1.906,false,false,true,intermittent external cluster; no physical identity claim,vehicle endpoint attribution weak,ground interaction possible,external clutter/background is competitive,MIXED_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0339_UMS_0,ELIG_GM_RM017_PV002_S0339,GM_RM017,GM_RM017:PV002,163,339,87.527571,2.472429,327.583989,-7.472429,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1233.398,1013.798;1299.398,1010.798;1305.398,1103.798;1237.398,1087.798",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[152.695,61.793]","u[118.374,186.849];v[18.603,114.535]","[68.323,-149.888]",78.166,68.475,95.933,2.054,2.878,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0344_NSB_0,ELIG_GM_RM017_PV002_S0344,GM_RM017,GM_RM017:PV002,165,344,89.553905,0.446095,321.161637,-2.446095,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"986.293,1042.731;1042.293,1047.731;1100.293,1056.731;1168.293,1058.731;1232.293,1053.731;1290.293,1041.731;1304.293,1057.731;1248.293,1073.731;1172.293,1081.731;1086.293,1077.731;988.293,1062.731",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[5.166,50.029]","u[-155.058,162.225];v[27.605,73.073]","[50.068,-4.777]",2.488,317.283,45.468,9.518,1.364,false,false,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,"broadest response in PV002; target-like lower band and fan/background arc overlap, so right side remains unresolved.","research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0344_OHS_0,ELIG_GM_RM017_PV002_S0344,GM_RM017,GM_RM017:PV002,165,344,89.553905,0.446095,321.161637,-2.446095,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"980.293,961.731;1022.293,951.731;1068.293,967.731;1062.293,987.731;1008.293,985.731",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-110.578,-42.685]","u[-158.227,-70.490];v[-62.083,-24.709]","[-43.545,110.242]",10.631,87.737,37.374,2.632,1.121,true,true,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0344_RBC_0,ELIG_GM_RM017_PV002_S0344,GM_RM017,GM_RM017:PV002,165,344,89.553905,0.446095,321.161637,-2.446095,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1122.293,987.731;1166.293,991.731;1174.293,1121.731;1136.293,1127.731",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[7.836,47.803]","u[-17.221,30.071];v[-22.615,117.789]","[47.862,-7.464]",86.968,47.292,140.403,1.419,4.212,false,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0344_ECC_1,ELIG_GM_RM017_PV002_S0344,GM_RM017,GM_RM017:PV002,165,344,89.553905,0.446095,321.161637,-2.446095,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,ENDPOINT_EXTERNAL_CLUTTER_CLUSTER,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1236.293,1025.731;1312.293,1027.731;1326.293,1091.731;1244.293,1085.731",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[137.740,52.839]","u[95.383,183.025];v[19.341,88.441]","[53.910,-137.324]",21.347,87.642,69.101,2.629,2.073,false,false,true,intermittent external cluster; no physical identity claim,vehicle endpoint attribution weak,ground interaction possible,external clutter/background is competitive,MIXED_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0344_UMS_0,ELIG_GM_RM017_PV002_S0344,GM_RM017,GM_RM017:PV002,165,344,89.553905,0.446095,321.161637,-2.446095,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,UNRESOLVED_MIXED_STRUCTURE,UNRESOLVED,direct_codex_visual_review_free_geometry,free_polygon,"1248.293,1009.731;1336.293,1005.731;1346.293,1101.731;1256.293,1093.731",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[154.904,48.436]","u[107.934,202.664];v[2.843,99.133]","[49.640,-154.522]",48.971,94.730,96.291,2.842,2.889,false,false,true,no reliable correspondence,not identifiable,not identifiable,background/mixed explanations remain,UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0350_NSB_0,ELIG_GM_RM017_PV002_S0350,GM_RM017,GM_RM017:PV002,168,350,82.910613,7.089387,327.010566,4.089387,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,NEAR_SIDE_LONGITUDINAL_BAND,DEFINITE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1033.320,1046.422;1095.320,1051.422;1153.320,1059.422;1225.320,1058.422;1289.320,1050.422;1311.320,1038.422;1325.320,1054.422;1269.320,1072.422;1197.320,1078.422;1125.320,1074.422;1035.320,1062.422",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_VISIBLE; sigma 4/10/20 descriptive aid only,"[7.141,54.812]","u[-146.001,145.180];v[34.406,74.945]","[53.512,-13.851]",2.159,291.181,40.539,8.735,1.216,false,false,true,manual relation across selected frames; not tracked scatterer,vehicle body contribution plausible but not separable,vehicle-ground interaction remains equally plausible,pure road weakened by R2A; local road/fan mixing remains,VEHICLE_ASSOCIATED_BODY_GROUND_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,late PV002 response remains lower and shorter; central vertical streak and right clutter are controls rather than positives.,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0350_OHS_0,ELIG_GM_RM017_PV002_S0350,GM_RM017,GM_RM017:PV002,168,350,82.910613,7.089387,327.010566,4.089387,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,OFFSET_HOTSPOT_OR_SHORT_SEGMENT,PROBABLE_TARGET_RESPONSE,direct_codex_visual_review_free_geometry,free_polygon,"1021.320,960.422;1065.320,952.422;1101.320,966.422;1095.320,984.422;1047.320,980.422",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,WEAK_YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[-109.184,-41.371]","u[-153.483,-73.907];v[-57.790,-24.264]","[-27.579,113.456]",11.109,79.576,33.526,2.387,1.006,true,false,true,bounded manual correspondence only,endpoint/internal vehicle contribution possible,ground/multipath contribution possible,background-adjacent and intermittently visible,CANDIDATE_RELATION_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0350_RBC_0,ELIG_GM_RM017_PV002_S0350,GM_RM017,GM_RM017:PV002,168,350,82.910613,7.089387,327.010566,4.089387,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,RADIAL_TANGENTIAL_BACKGROUND_CROSSING,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1153.320,984.422;1201.320,986.422;1209.320,1122.422;1169.320,1128.422",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[3.323,51.244]","u[-22.920,25.781];v[-21.229,123.411]","[50.442,-9.622]",87.800,48.701,144.640,1.461,4.339,false,true,false,persistent background crossing; not a vehicle component lineage,vehicle contribution low,mixed interaction cannot be excluded where crossing enters GT,radial/tangential scene structure is the leading explanation,BACKGROUND_OR_MIXED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
CC_GM_RM017_PV002_S0350_ECC_1,ELIG_GM_RM017_PV002_S0350,GM_RM017,GM_RM017:PV002,168,350,82.910613,7.089387,327.010566,4.089387,SIDE_DOMINANT,IDENTIFIABLE_WITH_BACKGROUND_MIXING,ENDPOINT_EXTERNAL_CLUTTER_CLUSTER,MIXED_STRUCTURE,direct_codex_visual_review_free_geometry,free_polygon,"1269.320,1014.422;1355.320,1018.422;1371.320,1082.422;1277.320,1082.422",RESEARCH_INTERPRETATION_OVERLAY_NOT_MASK_NOT_GT,YES_DIRECT_MANUAL_RAW_REVIEW,RAW_WEAK_OR_MIXED; contrast aids interpretation only,"[138.452,52.318]","u[91.351,189.652];v[14.801,88.046]","[34.830,-143.850]",16.165,98.301,73.245,2.949,2.197,false,false,true,intermittent external cluster; no physical identity claim,vehicle endpoint attribution weak,ground interaction possible,external clutter/background is competitive,MIXED_UNRESOLVED,D03_RAW_GRAYSCALE_COMPONENT_CARDS.png;D05_PV002_COMPONENT_LINEAGE.png,free geometry; present only where visually observed,"research geometry/interpretation only; not mask, GT revision, or runtime input"
