"scene","evidence_id","frame_start","frame_end","object_or_tracklet_a","object_or_tracklet_b","relation","relation_strength","vehicle_description","evidence_type","evidence_source","failure_or_state_type","notes"
"GM_RM011","GM011_P1A_E012","","","bs_0061_seg_002","bs_0061_seg_003","temporally_continuous","high","central white vehicle continues across a short gap with a separable left-edge competitor","historical_referent_audit","reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","short_gap_recovery;competitor_exclusion","Retain competitor-exclusion evidence."
"GM_RM011","GM011_P1A_E013","","","bs_0061","bs_0064","forbidden_merge","high","successor fragment lands on a different left-edge vehicle","historical_referent_audit","reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","full_frame_target_switch","Do not bridge by proximity or appearance."
"GM_RM011","GM011_P1A_E014","","","bs_0056","bs_0061","forbidden_merge","high","side/window strip changes to left-edge rear fragment or competitor","historical_referent_audit","reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","crop_subject_switch","Do not upgrade this relation."
"GM_RM017","GM017_P1A_E001","80","117","blue_handcart_or_foreground_structure","vehicle hypothesis","non_vehicle","high","blue handcart/temporary foreground structure intermittently classified as truck-like","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_080_117_raw_strip.jpg","non_vehicle_false_positive","YOLO26l detections in this interval are sparse and low-confidence; exclude after visual review."
"GM_RM017","GM017_P1A_E002","121","129","baseline_botsort_bs_0002","vehicle referent hypothesis","non_vehicle","high","foreground barrier/temporary structure rather than a vehicle","historical_referent_audit","reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","non_vehicle_false_track","Tracker stability does not make the object a vehicle."
"GM_RM017","GM017_P1A_E003","118","164","white_box_truck","baseline_bs_0001_or_y26l_raw_bs_0006","same_vehicle","high","large white box truck remains continuous across the scene","full_stream_visual_plus_tracker","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_raw_strip.jpg; reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","entering;active_visible;exiting","Context vehicle; target relevance remains separate from identity continuity."
"GM_RM017","GM017_P1A_E004","145","185","leading_dark_sedan","baseline_bs_0008","same_vehicle","high","leading dark sedan moves left-to-right continuously","full_stream_visual_plus_referent_audit","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_raw_strip.jpg; reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","active_visible;edge_entry_exit","Appearance weakness is explained by partial crops."
"GM_RM017","GM017_P1A_E005","151","200","white_suv","baseline_bs_0010","same_vehicle","high","white SUV remains visible from left entry to right exit","full_stream_visual_plus_referent_audit","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_raw_strip.jpg; reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","active_visible;edge_entry_exit","Late thin crops remain the same referent."
"GM_RM017","GM017_P1A_E006","162","214","trailing_dark_sedan","baseline_bs_0012","same_vehicle","medium_high","second dark sedan follows a coherent left-to-right path","full_stream_visual_plus_referent_audit","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_raw_strip.jpg; reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","active_visible;similar_vehicle_competition","Keep an explicit guard against the leading dark sedan."
"GM_RM017","GM017_P1A_E007","145","214","leading_dark_sedan_bs_0008","trailing_dark_sedan_bs_0012","forbidden_merge","high","two distinct dark sedans are simultaneously/order-separately visible with the white SUV between them","full_stream_visual_plus_referent_audit","reports/oty2/samples/oty2_same_vehicle_referent_consistency_summary_20260705_165636.csv","same_color_false_merge_risk","Main GM_RM017 false-merge guard."
"GM_RM017","GM017_P1A_E008","145","185","leading_dark_sedan","white_suv","different_vehicle","high","two vehicles are simultaneously visible","same_frame_exclusion","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_raw_strip.jpg","multi_vehicle_competition","Hard same-frame exclusion."
"GM_RM017","GM017_P1A_E009","151","200","white_suv","trailing_dark_sedan","different_vehicle","high","two vehicles are simultaneously visible","same_frame_exclusion","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_raw_strip.jpg","multi_vehicle_competition","Hard same-frame exclusion."
"GM_RM017","GM017_P1A_E010","118","214","four_vehicle_set","single highest-confidence candidate stream","subject_switch","high","box truck leading dark sedan white SUV and trailing dark sedan coexist and the highest-confidence detection changes subject","full_stream_visual_plus_bbox_flow","outputs/oty2_p1a_visual_audit_20260713/GM_RM017_118_220_overlay_strip.jpg; reports/oty2/oty2_yolo26l_identity_safe_timeline_mechanism_diagnosis_20260707.md","multi_target_review_window;node_identity_switch","Do not interpret a highest-confidence stream as one vehicle."
"GM_RM019","GM019_P1A_E001","0","29","black_sedan_early","its local observations","same_vehicle","high","black sedan crosses the near field","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_000_110_raw_strip.jpg","entering;active_visible;exiting","First physical vehicle lifecycle."
"GM_RM019","GM019_P1A_E002","14","49","white_mpv_early","its local observations","same_vehicle","high","white MPV/SUV crosses while the black sedan is still present","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_000_110_raw_strip.jpg","entering;active_visible;exiting","Second physical vehicle lifecycle."
"GM_RM019","GM019_P1A_E003","14","29","black_sedan_early","white_mpv_early","different_vehicle","high","two vehicles are simultaneously visible and pass in sequence","same_frame_exclusion","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_000_110_raw_strip.jpg","multi_vehicle_overlap","Hard same-frame exclusion."
"GM_RM019","GM019_P1A_E004","99","143","silver_mpv_099_143","its local observations","same_vehicle","high","older silver MPV enters from the left and exits to the right","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_000_110_raw_strip.jpg; outputs/oty2_p1a_visual_audit_20260713/GM_RM019_140_220_raw_strip.jpg","entering;active_visible;exiting","Third physical vehicle lifecycle."
"GM_RM019","GM019_P1A_E005","149","183","gray_suv_149_183","oty1_tracklet_0039_plus_0045_region","same_vehicle","high","modern gray SUV crosses continuously; old OTY1 split occurs within one visible lifecycle","full_stream_visual_plus_oty1a","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_140_220_raw_strip.jpg; reports/oty1a/oty1a_cross_scene_fragment_merge_summary_20260701_190559.md","fragment_split;partial_to_full_box_transition","Positive repair example: use future frames to merge local fragments, not tracker ID alone."
"GM_RM019","GM019_P1A_E006","99","183","silver_mpv_099_143","gray_suv_149_183","different_vehicle","high","two similar-gray vehicles have distinct body shapes and a completed exit followed by a new entry","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_140_220_raw_strip.jpg","same_color_replacement;exit_and_new_entry","Do not merge on color/appearance similarity."
"GM_RM019","GM019_P1A_E007","162","183","oty1_tracklet_0039","oty1_tracklet_0045","temporally_continuous","medium_high","overlapping fragments around a partial-to-full bbox transition belong to the gray-SUV lifecycle","oty1a_candidate_confirmed_by_current_visual","reports/oty1/oty1_cross_scene_findings_and_recommendations_20260701.md; outputs/oty2_p1a_visual_audit_20260713/GM_RM019_140_220_raw_strip.jpg","fragment_merge_repair","Current full-stream visual evidence strengthens the earlier review candidate."
"GM_RM019","GM019_P1A_E008","259","261","y26l_raw_bs_0083_or_bt_0090","vehicle referent hypothesis","non_vehicle","high","late tracker fragment follows a roadside sign/display rather than a vehicle","full_stream_visual","outputs/oty2_p1a_visual_audit_20260713/GM_RM019_221_367_overlay_strip.jpg","non_vehicle_false_track","Frames after the four vehicle lifecycles are dominated by pedestrians bicycles scooters and street furniture."
