audit_id,audit_scope,forward_case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,gt_id,gt_quality,bbox_width_px,bbox_height_px,raw_angle_deg,old_interpreted_axis_deg,corner_long_axis_deg,old_to_corrected_axis_delta_deg,long_edge_px,short_edge_px,selected_long_edge_index,reconstructed_corners_xy,heading_min_deg,heading_max_deg,old_target_heading_covered,corrected_target_heading_covered,old_90_control_axis_deg,corner_90_control_axis_deg,old_90_control_excluded,corrected_90_control_excluded,control_reconstructed_corners_xy,conclusion_change,scientific_note
G1R1LA0011,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV002,164,342,GM_RM017|000342|gm_rm017_00048,usable,149.050000,69.700000,178.000000,-2.000000,-2.000000,0.000000,149.050000,69.700000,0,1202.856:1041.158;1053.897:1046.360;1051.464:976.702;1200.423:971.500,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0012,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV002,173,361,GM_RM017|000361|gm17supp_000173_000361_det2,usable,162.497000,71.039000,-3.000000,-3.000000,-3.000000,0.000000,162.497000,71.039000,0,1167.591:977.568;1329.865:969.064;1333.583:1040.006;1171.309:1048.510,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0013,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV003,160,334,GM_RM017|000334|gm17supp_000160_000334_det2,usable,162.903000,64.484000,-2.000000,-2.000000,-2.000000,0.000000,162.903000,64.484000,0,825.263:913.249;988.067:907.564;990.317:972.009;827.513:977.694,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0014,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV003,172,359,GM_RM017|000359|gm17supp_000172_000359_det3,usable,170.644000,70.165000,-6.000000,-6.000000,-6.000000,0.000000,170.644000,70.165000,2,984.001:917.834;1153.710:899.997;1161.045:969.778;991.336:987.615,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0015,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV003,183,382,GM_RM017|000382|gm17supp_000183_000382_det2,usable,152.226000,70.116000,-3.000000,-3.000000,-3.000000,0.000000,152.226000,70.116000,0,1139.283:910.902;1291.300:902.936;1294.969:972.956;1142.952:980.922,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0016,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV004,169,353,GM_RM017|000353|gm17supp_000169_000353_det2,usable,156.742000,76.129000,1.000000,1.000000,1.000000,0.000000,156.742000,76.129000,0,785.853:841.268;942.571:844.003;941.243:920.120;784.525:917.385,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0017,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV004,181,378,GM_RM017|000378|gm17supp_000181_000378_det1,usable,160.342000,74.161000,-3.000000,-3.000000,-3.000000,0.000000,160.342000,74.161000,0,958.743:846.218;1118.865:837.826;1122.747:911.886;962.625:920.278,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0018,R1_SELECTED_GT_CASE,,GM_RM017,GM_RM017:PV004,189,394,GM_RM017|000394|gm_rm017_00121,usable,163.808000,79.473000,177.000000,-3.000000,-3.000000,0.000000,163.808000,79.473000,0,1227.937:916.823;1064.354:925.396;1060.195:846.031;1223.778:837.458,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0019,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV001,0,0,GM_RM011|000000|GM_RM011|000000.png|000000.png|1|O1:car:0.95,usable,136.103000,69.358000,-12.000000,-12.000000,-12.000000,0.000000,136.103000,69.358000,0,1066.572:1224.466;1199.701:1196.168;1214.122:1264.010;1080.993:1292.308,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0020,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV001,8,17,GM_RM011|000017|GM_RM011|000017.png|000008.png|1|O1:car:0.36,usable,127.942000,63.440000,-10.000000,-10.000000,-10.000000,0.000000,127.942000,63.440000,0,1088.135:1229.672;1214.133:1207.455;1225.149:1269.932;1099.151:1292.149,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0021,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV006,117,244,GM_RM011|000244|frameadd_gm_rm011_000117_000244_01,usable,78.629000,154.917000,0.000000,0.000000,-90.000000,90.000000,154.917000,78.629000,1,1077.342:1127.168;1155.971:1127.168;1155.971:1282.084;1077.342:1282.084,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0022,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV006,125,261,GM_RM011|000261|frameadd_gm_rm011_000125_000261_02,diagnostic_only,84.489000,185.464000,0.000000,0.000000,-90.000000,90.000000,185.464000,84.489000,1,1135.454:1103.513;1219.943:1103.513;1219.943:1288.977;1135.454:1288.977,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0023,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV006,134,280,GM_RM011|000280|frameadd_gm_rm011_000134_000280_03,diagnostic_only,71.368000,156.614000,2.000000,2.000000,-88.000000,90.000000,156.614000,71.368000,1,1200.591:1122.922;1271.915:1125.413;1266.449:1281.932;1195.125:1279.441,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0024,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV007,117,244,GM_RM011|000244|frameadd_gm_rm011_000117_000244_02,usable,75.056000,136.592000,359.000000,-1.000000,89.000000,90.000000,136.592000,75.056000,1,1008.714:1140.483;1083.758:1139.173;1086.142:1275.745;1011.098:1277.055,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0025,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV007,134,280,GM_RM011|000280|frameadd_gm_rm011_000134_000280_01,diagnostic_only,79.429000,190.707000,2.000000,2.000000,-88.000000,90.000000,190.707000,79.429000,1,1044.573:1054.228;1123.954:1057.000;1117.299:1247.590;1037.918:1244.818,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0026,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV007,151,315,GM_RM011|000315|gm_rm011_00160,usable,70.111000,142.840000,9.000000,9.000000,-81.000000,90.000000,142.840000,70.111000,1,1244.209:1133.015;1313.456:1143.983;1291.111:1285.065;1221.864:1274.097,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0027,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV008,151,315,GM_RM011|000315|frameadd_gm_rm011_000151_000315_01,usable,73.900000,163.084000,5.000000,5.000000,-85.000000,90.000000,163.084000,73.900000,1,1166.491:1112.279;1240.110:1118.720;1225.897:1281.183;1152.278:1274.742,,,,,,,,,,LONG_AXIS_ROTATED_90_FROM_OLD,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0028,R1_SELECTED_GT_CASE,,GM_RM011,GM_RM011:PV010,212,442,GM_RM011|000442|gm_rm011_00179,usable,142.279000,74.900000,-1.000000,-1.000000,-1.000000,0.000000,142.279000,74.900000,2,981.803:1209.427;1124.060:1206.944;1125.367:1281.833;983.110:1284.316,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0029,R1_SELECTED_GT_CASE,,GM_RM019,GM_RM019:PV001,0,0,GM_RM019|000000|gm_rm019_00001,usable,145.813000,64.500000,1.000000,1.000000,1.000000,0.000000,145.813000,64.500000,0,1105.054:1164.533;1250.845:1167.077;1249.720:1231.567;1103.929:1229.023,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0030,R1_SELECTED_GT_CASE,,GM_RM019,GM_RM019:PV002,42,88,GM_RM019|000088|gm_rm019_00057,usable,147.538000,77.980000,4.000000,4.000000,4.000000,0.000000,147.538000,77.980000,0,1231.937:1158.607;1379.115:1168.899;1373.675:1246.689;1226.497:1236.397,,,,,,,,,,UNCHANGED,Selected G1-R1 image case; direction rechecked without a forward heading interval.
G1R1LA0031,O2_W1_YELLOW_CONTROL,,GM_RM011,GM_RM011:PV001,8,16,GM_RM011|000016|GM_RM011|000016.png|000008.png|1|O1:car:0.36,usable,127.942000,63.440000,-10.000000,-10.000000,-10.000000,0.000000,127.942000,63.440000,0,1087.135:1229.672;1213.133:1207.455;1224.149:1269.932;1098.151:1292.149,-20.000000,20.000000,true,true,80.000000,80.000000,true,true,1175.558:1176.296;1199.058:1309.573;1135.196:1320.834;1111.696:1187.557,UNCHANGED,O2-W1 target has width greater than height; target and yellow 90-degree conclusion remain unchanged.
