case_id,frame,coordinate_family,evaluation_mode,hidden_skeleton_length_px,hidden_skeleton_covered_px,hidden_skeleton_coverage_fraction,seed_only_covered_px,added_skeleton_covered_px,confirmed_seed_count,supported_extension_count,supported_extension_length_px,probable_extension_count,probable_extension_length_px,confirmed_vertical_background_overlap_px,ambiguity_zone_area_px,ambiguity_zone_overlap_px,ambiguity_zone_overlap_fraction,fully_assigned_ambiguity_zone,supported_without_seed_path_count,supported_crossing_background_count
PV003_380_384,380,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,380,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,380,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,381,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,98,28,0.285714,28,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,381,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,98,28,0.285714,28,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,381,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,98,28,0.285714,28,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,381,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,98,28,0.285714,28,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,382,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,382,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,98,26,0.265306,26,0,1,0,0.000000,1,12.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,382,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,382,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,98,26,0.265306,26,0,1,0,0.000000,1,12.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,383,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,383,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,98,26,0.265306,26,0,1,0,0.000000,1,12.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,383,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,98,26,0.265306,26,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,383,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,98,26,0.265306,26,0,1,0,0.000000,1,12.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,384,GT_ALIGNED_RESEARCH_STACK,SEED_ONLY_BASELINE,98,32,0.326531,32,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,384,GT_ALIGNED_RESEARCH_STACK,SINGLE_FRAME_SPATIAL,98,32,0.326531,32,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,384,GT_ALIGNED_RESEARCH_STACK,FORWARD_CAUSAL_MICROPILOT,98,32,0.326531,32,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
PV003_380_384,384,GT_ALIGNED_RESEARCH_STACK,OFFLINE_BIDIRECTIONAL_MICROPILOT,98,32,0.326531,32,0,1,0,0.000000,0,0.000000,0,13570,0,0.000000,false,0,0
