structure_relation_id,scene,canonical_vehicle_id,segment_id,sar_frame_index,source_observation_id,target_observation_id,relation_types,global_dx_px,global_dy_px,global_distance_px,radial_delta_px,tangential_delta_px,orientation_difference_deg,collinearity_residual_px,parallel_score,near_far_order,shared_background_connection,notes
S1L-REL-0000020,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000108,S1L-OBS-0000109,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,-39.762615,6.865335,40.350940,-5.469863,-39.978482,17.495190,0.879172,0.805609,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000021,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000108,S1L-OBS-0000114,spatial_neighbor;same_azimuth_band;near_far_correspondence;possible_shared_extended_response,-14.776337,44.723411,47.101206,-44.179011,-16.332133,22.191782,56.345005,0.753425,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000022,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000109,S1L-OBS-0000110,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,-86.660446,6.692586,86.918488,-3.656293,-86.841551,54.062845,6.259114,0.399302,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000023,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000109,S1L-OBS-0000114,spatial_neighbor;parallel;near_far_correspondence;possible_shared_extended_response,24.986278,37.858076,45.360203,-38.709148,23.646349,4.696592,67.250413,0.947816,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000024,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000109,S1L-OBS-0000116,spatial_neighbor;near_far_correspondence,-23.499897,36.630653,43.520684,-35.785976,-24.767190,18.390563,46.643182,0.795660,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000025,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000110,S1L-OBS-0000114,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,111.646724,31.165490,115.914963,-35.052855,110.487900,49.366253,30.968507,0.451486,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000026,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000110,S1L-OBS-0000116,spatial_neighbor;near_far_correspondence,63.160549,29.938067,69.896658,-32.129683,62.074361,72.453408,17.645533,0.194962,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000027,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,12,S1L-OBS-0000114,S1L-OBS-0000116,spatial_neighbor;same_radial_band;collinear;near_far_correspondence;possible_shared_extended_response,-48.486175,-1.227423,48.501709,2.923172,-48.413539,23.087155,6.265266,0.743476,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000028,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000122,S1L-OBS-0000123,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,-38.115131,7.817541,38.908574,-6.937765,-38.285044,19.107884,0.511103,0.787690,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000029,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000122,S1L-OBS-0000126,spatial_neighbor;same_azimuth_band;near_far_correspondence;possible_shared_extended_response,-17.182760,46.502487,49.575483,-46.094476,-18.249049,24.414983,52.311619,0.728722,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000030,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000123,S1L-OBS-0000124,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,-88.525783,11.513381,89.271340,-9.471783,-88.767434,59.157431,4.691799,0.342695,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000031,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000123,S1L-OBS-0000126,spatial_neighbor;parallel;near_far_correspondence;possible_shared_extended_response,20.932371,38.684946,43.985102,-39.156711,20.035995,5.307099,73.684153,0.941032,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000032,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000123,S1L-OBS-0000128,spatial_neighbor;near_far_correspondence,-25.414028,37.551172,45.342732,-36.955988,-26.272006,20.493851,43.808580,0.772291,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000033,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000124,S1L-OBS-0000126,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,109.458154,27.171565,112.780235,-29.684928,108.803429,53.850332,31.350145,0.401663,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000034,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,13,S1L-OBS-0000126,S1L-OBS-0000128,spatial_neighbor;same_radial_band;collinear;near_far_correspondence;possible_shared_extended_response,-46.346399,-1.133774,46.360265,2.200723,-46.308001,25.800950,6.990589,0.713323,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000035,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000130,S1L-OBS-0000131,spatial_neighbor;same_radial_band;parallel;collinear;near_far_correspondence,-38.603751,9.600671,39.779674,-8.671449,-38.823040,12.741886,1.166383,0.858423,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000036,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000130,S1L-OBS-0000135,spatial_neighbor;same_azimuth_band;near_far_correspondence;possible_shared_extended_response,-17.013642,47.809318,50.746378,-47.387235,-18.156125,17.114699,53.238723,0.809837,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000037,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000131,S1L-OBS-0000132,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-90.043526,18.213538,91.867130,-16.047323,-90.454701,50.455143,1.364420,0.439387,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000038,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000131,S1L-OBS-0000135,spatial_neighbor;parallel;near_far_correspondence;possible_shared_extended_response,21.590109,38.208647,43.886598,-38.715786,20.666915,4.372813,73.330646,0.951413,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000039,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000131,S1L-OBS-0000137,spatial_neighbor;parallel;near_far_correspondence,-24.428719,38.952069,45.978538,-38.354581,-25.356500,2.763478,45.106572,0.969295,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000040,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000132,S1L-OBS-0000135,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,111.633635,19.995109,113.410197,-22.668463,111.121616,46.082330,27.327211,0.487974,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000041,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000132,S1L-OBS-0000137,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,65.614807,20.738531,68.814167,-22.307258,65.098201,53.218621,27.576056,0.408682,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000042,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,14,S1L-OBS-0000135,S1L-OBS-0000137,spatial_neighbor;same_radial_band;parallel;collinear;near_far_correspondence;possible_shared_extended_response,-46.018828,0.743422,46.024833,0.361205,-46.023415,7.136291,9.110626,0.920708,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000043,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,15,S1L-OBS-0000143,S1L-OBS-0000144,spatial_neighbor;same_radial_band;parallel;collinear;near_far_correspondence;possible_shared_extended_response,-37.698976,8.449052,38.634172,-7.541875,-37.890888,13.454772,0.120932,0.850503,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000044,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,15,S1L-OBS-0000143,S1L-OBS-0000146,spatial_neighbor;same_azimuth_band;near_far_correspondence,4.752194,41.790607,42.059936,-41.892619,3.747886,27.483952,55.085178,0.694623,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000045,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,15,S1L-OBS-0000143,S1L-OBS-0000149,spatial_neighbor;near_far_correspondence,-31.343209,53.345621,61.872062,-52.578045,-32.614432,23.519107,36.987918,0.738677,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000046,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,15,S1L-OBS-0000144,S1L-OBS-0000146,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,42.451170,33.341555,53.979266,-34.350744,41.638774,40.938724,9.719096,0.545125,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000047,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,15,S1L-OBS-0000144,S1L-OBS-0000149,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,6.355767,44.896569,45.344213,-45.036170,5.276456,10.064335,75.481791,0.888174,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000048,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,15,S1L-OBS-0000146,S1L-OBS-0000149,spatial_neighbor;collinear;near_far_correspondence,-36.095403,11.555014,37.899821,-10.685426,-36.362318,51.003059,4.824596,0.433299,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000049,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000154,S1L-OBS-0000155,spatial_neighbor;same_radial_band;collinear;near_far_correspondence;possible_shared_extended_response,-41.079284,8.211183,41.891898,-8.971270,-40.920013,19.192607,0.527432,0.786749,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000050,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000154,S1L-OBS-0000160,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence,-7.696677,37.204536,37.992319,-37.340818,-7.005685,9.488025,83.783768,0.894578,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000051,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000154,S1L-OBS-0000163,spatial_neighbor;near_far_correspondence,-35.689462,52.845295,63.768040,-53.497800,-34.703723,30.698514,33.684445,0.658905,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000052,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000155,S1L-OBS-0000160,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,33.382607,28.993353,44.215529,-28.369548,33.914328,28.680632,23.070462,0.681326,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000053,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000155,S1L-OBS-0000163,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,5.389822,44.634112,44.958360,-44.526530,6.216290,11.505907,74.603313,0.872157,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000054,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000155,S1L-OBS-0000166,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,45.805565,38.337258,59.731860,-37.481560,46.508363,33.418380,17.285713,0.628685,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000055,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000160,S1L-OBS-0000163,spatial_neighbor;collinear;near_far_correspondence,-27.992785,15.640759,32.066016,-16.156982,-27.698038,40.186539,6.911810,0.553483,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000056,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000160,S1L-OBS-0000166,spatial_neighbor;parallel;collinear;near_far_correspondence,12.422958,9.343905,15.544724,-9.112012,12.594035,4.737748,14.306440,0.947358,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000057,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,16,S1L-OBS-0000163,S1L-OBS-0000166,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,40.415743,-6.296854,40.903333,7.044970,40.292073,44.924287,13.426538,0.500841,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000058,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000172,S1L-OBS-0000174,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,75.150090,16.238069,76.884400,-14.054663,75.588870,79.857667,23.740193,0.112693,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000059,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000173,S1L-OBS-0000174,spatial_neighbor;same_radial_band;collinear;near_far_correspondence;possible_shared_extended_response,-42.171140,7.087368,42.762552,-8.305810,-41.948174,22.471809,2.007352,0.750313,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000060,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000173,S1L-OBS-0000183,spatial_neighbor;near_far_correspondence,-38.440332,52.389530,64.979397,-53.480911,-36.906832,26.993587,37.661763,0.700071,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000061,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000173,S1L-OBS-0000184,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence,3.281308,46.796989,46.911887,-46.682320,4.635327,10.684323,64.380416,0.881285,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000062,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000174,S1L-OBS-0000181,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-101.360601,35.213265,107.303054,-38.134228,-100.298186,52.522678,7.610081,0.416415,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000063,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000174,S1L-OBS-0000183,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,3.730808,45.302162,45.455526,-45.175101,5.041342,4.521778,78.638682,0.949758,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000064,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000174,S1L-OBS-0000184,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,45.452448,39.709621,60.355439,-38.376510,46.583501,33.156132,19.533465,0.631599,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000065,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,17,S1L-OBS-0000183,S1L-OBS-0000184,spatial_neighbor;same_radial_band;collinear;near_far_correspondence,41.721640,-5.592541,42.094795,6.798591,41.542159,37.677910,8.434569,0.581357,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000066,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000190,S1L-OBS-0000191,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-45.365042,5.623884,45.712308,-11.616458,-44.211684,23.858939,4.636289,0.734901,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000067,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000190,S1L-OBS-0000201,spatial_neighbor;near_far_correspondence,-43.371846,49.808860,66.045738,-55.142204,-36.350747,22.767599,38.339944,0.747027,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000068,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000191,S1L-OBS-0000195,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-93.182081,14.006922,94.228945,-26.294092,-90.485992,43.778967,3.154595,0.513567,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000069,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000191,S1L-OBS-0000196,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-102.699594,22.571724,105.150793,-36.050319,-98.777851,63.871576,0.692446,0.290316,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000070,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000191,S1L-OBS-0000198,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-100.705724,34.008511,106.293093,-47.119607,-95.278351,54.476751,6.956756,0.394703,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000071,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000191,S1L-OBS-0000201,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence;possible_shared_extended_response,1.993196,44.184976,44.229910,-43.525746,7.860937,1.091340,80.879711,0.987874,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000072,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000191,S1L-OBS-0000202,spatial_neighbor;near_far_correspondence;possible_shared_extended_response,49.039076,39.038990,62.680728,-32.159038,53.802137,41.472220,50.225734,0.539198,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000073,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000195,S1L-OBS-0000196,spatial_neighbor;collinear;near_far_correspondence,-9.517513,8.564802,12.803862,-9.756227,-8.291859,20.092609,13.498113,0.776749,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000074,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000195,S1L-OBS-0000198,spatial_neighbor;same_azimuth_band;parallel;collinear;near_far_correspondence,-7.523643,20.001589,21.369810,-20.825515,-4.792359,10.697784,3.206179,0.881136,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000075,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000196,S1L-OBS-0000198,spatial_neighbor;same_azimuth_band;parallel;near_far_correspondence,1.993870,11.436787,11.609290,-11.069288,3.499500,9.394825,24.314713,0.895613,target_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000076,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,18,S1L-OBS-0000201,S1L-OBS-0000202,spatial_neighbor;collinear;near_far_correspondence,47.045880,-5.145986,47.326483,11.366708,45.941200,42.563560,4.369499,0.527072,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000077,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,19,S1L-OBS-0000210,S1L-OBS-0000211,spatial_neighbor;same_radial_band;collinear;near_far_correspondence;possible_shared_extended_response,54.534830,-8.448806,55.185415,16.608956,52.626728,29.477927,5.417093,0.672467,source_nearer,false,geometric relation; no graph neural network or identity claim
S1L-REL-0000078,GM_RM011,GM_RM011:PV001,S0MV-GM_RM011-PV001-SEG01,19,S1L-OBS-0000210,S1L-OBS-0000216,spatial_neighbor;collinear;near_far_correspondence;possible_shared_extended_response,-68.601949,27.135217,73.773623,-37.209929,-63.702188,33.823275,7.357442,0.624186,target_nearer,false,geometric relation; no graph neural network or identity claim
