atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,subtype,geometry_type,points,confidence,notes
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,360,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1116.560,916.827;1116.560,1036.827",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,360,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"936.560,993.827;1081.560,1005.827;1226.560,1016.827",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,364,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1147.883,916.254;1147.883,1036.254",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,364,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"967.883,993.254;1112.883,1005.254;1257.883,1016.254",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,372,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1202.105,916.444;1202.105,1036.444",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,372,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"1022.105,993.444;1167.105,1005.444;1312.105,1016.444",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,378,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1230.374,920.429;1230.374,1040.429",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,378,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"1050.374,997.429;1195.374,1009.429;1340.374,1020.429",0.0,fan-arc structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,384,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,vertical_line,polyline,"1266.552,916.773;1266.552,1036.773",0.0,vertical bright structure retained as background counterexample
OTY2-RSA0-response-atlas-v0-manual-review-seeded,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,384,sar_display_px,manual_direct_visual_review_seeded,directly_reviewed_by_codex,BACKGROUND_STRUCTURE,fan_arc,polyline,"1086.552,993.773;1231.552,1005.773;1376.552,1016.773",0.0,fan-arc structure retained as background counterexample
