case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,event_stage,coordinate_scheme,u_direction_status,u_axis_deg,v_near_unit_x,v_near_unit_y,near_sign_dot_to_origin,reference_center_x_px,reference_center_y_px,reference_long_axis_px,reference_short_axis_px,radius_px,fan_theta_deg,fan_tangent_deg,u_vs_fan_tangent_axial_difference_deg,u_vs_radial_axial_difference_deg,perframe_to_stable_center_delta_px,perframe_to_stable_axis_delta_deg,boundary_state,optical_pose,optical_head_tail_status,local_background_type,control_type,control_displacement_px,control_displacement_short_axes,raw_near_minus_far_mean,sigma4_near_minus_far_mean,sigma10_near_minus_far_mean,sigma20_near_minus_far_mean,profile_peak_v_px,profile_peak_v_over_halfwidth,observation_raw_gray,observation_multiscale,physical_interpretation_status,this_control_eliminates_or_weakens,this_control_does_not_eliminate,gt_usage_boundary
C02,GM_RM017,GM_RM017:PV002,153,319,pre-bracket / left clipped,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.328,0.040612,0.999175,0.900007,981.360,1008.204,155.639,71.984,365.710,-28.169,-28.169,25.841,64.159,1.006,1.328,valid fan interior,side-dominant; left image truncation,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; far-side arc/line competitive,TRUE_NEIGHBORHOOD,0.000,0.000,7.465881,0.226708,1.696623,4.290152,27.500,0.764,near-side band remains under leave-one-frame-out center/axis alignment,persistent across sigma 4/10/20; fragmentation is display-scale dependent,VEHICLE_GROUND_MIXED_PLAUSIBLE,per-frame GT micro-adjustment as sole cause,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,164,342,inside / approach,PER_FRAME_GT,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.000,0.034899,0.999391,0.998832,1127.160,1008.930,149.050,69.700,322.788,-4.770,-4.770,2.770,87.230,0.000,0.000,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; road/curb axis approximately vehicle-parallel,TRUE_NEIGHBORHOOD,0.000,0.000,18.045677,0.865545,4.053152,10.167349,28.500,0.818,near-side bright band/segments visible in original grayscale; strength and continuity vary,same side bias persists; smaller sigma emphasizes edges and endpoints,VEHICLE_GROUND_MIXED_PLAUSIBLE,high-pass-only visual artifact,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,164,342,inside / approach,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.279,0.039768,0.999209,0.999339,1129.472,1009.117,155.548,71.937,322.418,-4.363,-4.363,2.084,87.916,2.319,0.279,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; road/curb axis approximately vehicle-parallel,TRUE_NEIGHBORHOOD,0.000,0.000,17.307240,0.693142,3.606370,9.534939,28.500,0.792,near-side band remains under leave-one-frame-out center/axis alignment,persistent across sigma 4/10/20; fragmentation is display-scale dependent,VEHICLE_GROUND_MIXED_PLAUSIBLE,per-frame GT micro-adjustment as sole cause,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,167,348,inside / near recorded minimum,PER_FRAME_GT,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.000,0.034899,0.999391,0.997682,1164.610,1011.088,138.260,77.023,319.688,1.902,1.902,3.902,86.098,0.000,0.000,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,15.677189,0.374625,2.592134,8.412255,26.500,0.688,near-side bright band/segments visible in original grayscale; strength and continuity vary,same side bias persists; smaller sigma emphasizes edges and endpoints,VEHICLE_GROUND_MIXED_PLAUSIBLE,high-pass-only visual artifact,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,167,348,inside / near recorded minimum,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.279,0.039768,0.999209,0.996645,1167.561,1009.098,155.548,71.647,321.788,2.415,2.415,4.694,85.306,3.559,0.279,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,15.178974,0.574519,3.011824,8.283567,28.500,0.796,near-side band remains under leave-one-frame-out center/axis alignment,persistent across sigma 4/10/20; fragmentation is display-scale dependent,VEHICLE_GROUND_MIXED_PLAUSIBLE,per-frame GT micro-adjustment as sole cause,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,173,361,inside / departure,PER_FRAME_GT,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-3.000,0.052336,0.998630,0.941434,1250.587,1008.787,162.497,71.039,335.995,16.706,16.706,19.706,70.294,0.000,0.000,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,8.524120,0.247616,1.819118,5.080971,24.500,0.690,near-side bright band/segments visible in original grayscale; strength and continuity vary,same side bias persists; smaller sigma emphasizes edges and endpoints,VEHICLE_GROUND_MIXED_PLAUSIBLE,high-pass-only visual artifact,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,173,361,inside / departure,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.224,0.038813,0.999246,0.946706,1249.569,1009.313,155.122,72.032,335.199,16.565,16.565,18.790,71.210,1.146,0.776,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,8.846401,0.254793,1.942479,5.384113,25.500,0.708,near-side band remains under leave-one-frame-out center/axis alignment,persistent across sigma 4/10/20; fragmentation is display-scale dependent,VEHICLE_GROUND_MIXED_PLAUSIBLE,per-frame GT micro-adjustment as sole cause,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,181,378,post-bracket / right clipped,PER_FRAME_GT,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-3.000,0.052336,0.998630,0.819880,1353.751,1010.026,158.879,67.752,377.714,31.927,31.927,34.927,55.073,0.000,0.000,near valid-fan edge in local context,side-dominant; right image truncation,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan edge enters lower-right context,TRUE_NEIGHBORHOOD,0.000,0.000,5.539967,0.161802,1.294678,3.635967,23.500,0.694,near-side bright band/segments visible in original grayscale; strength and continuity vary,same side bias persists; smaller sigma emphasizes edges and endpoints,VEHICLE_GROUND_MIXED_PLAUSIBLE,high-pass-only visual artifact,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02,GM_RM017,GM_RM017:PV002,181,378,post-bracket / right clipped,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.431,0.042421,0.999100,0.823870,1356.310,1008.024,155.639,73.104,380.768,32.095,32.095,34.526,55.474,3.248,0.569,near valid-fan edge in local context,side-dominant; right image truncation,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; fan edge enters lower-right context,TRUE_NEIGHBORHOOD,0.000,0.000,5.421539,0.084644,1.041793,3.284925,24.500,0.670,near-side band remains under leave-one-frame-out center/axis alignment,persistent across sigma 4/10/20; fragmentation is display-scale dependent,VEHICLE_GROUND_MIXED_PLAUSIBLE,per-frame GT micro-adjustment as sole cause,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,164,341,adjacent continuity around SAR 342,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.264,0.039499,0.999220,0.998401,1123.020,1009.103,155.122,71.937,322.986,-5.504,-5.504,3.240,86.760,6.354,0.736,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,17.221951,0.685388,3.570535,9.449347,28.500,0.792,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,164,342,adjacent continuity around SAR 342,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.279,0.039768,0.999209,0.999339,1129.472,1009.117,155.548,71.937,322.418,-4.363,-4.363,2.084,87.916,2.319,0.279,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; road/curb axis approximately vehicle-parallel,TRUE_NEIGHBORHOOD,0.000,0.000,17.307240,0.693142,3.606370,9.534939,28.500,0.792,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,165,343,adjacent continuity around SAR 342,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.264,0.039499,0.999220,0.999843,1135.574,1009.059,155.122,71.647,322.068,-3.280,-3.280,1.016,88.984,3.981,0.736,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,16.190495,0.601225,3.381229,9.065090,28.500,0.796,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,167,347,adjacent continuity around SAR 348,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.218,0.038695,0.999251,0.998120,1161.275,1009.094,155.122,71.937,321.588,1.296,1.296,3.514,86.486,2.304,3.782,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,15.534187,0.568151,3.106842,8.547909,28.500,0.792,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,167,348,adjacent continuity around SAR 348,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.279,0.039768,0.999209,0.996645,1167.561,1009.098,155.548,71.647,321.788,2.415,2.415,4.694,85.306,3.559,0.279,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,15.178974,0.574519,3.011824,8.283567,28.500,0.796,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,168,349,adjacent continuity around SAR 348,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.248,0.039231,0.999230,0.994890,1173.901,1009.491,155.122,71.647,321.726,3.546,3.546,5.795,84.205,3.715,1.752,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,14.182388,0.369793,2.604079,7.571238,27.500,0.768,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,173,360,adjacent continuity around SAR 361,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.209,0.038536,0.999257,0.952304,1243.392,1009.540,155.548,71.937,333.272,15.559,15.559,17.767,72.233,3.504,1.791,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,10.156441,0.239117,2.199394,6.246929,25.500,0.709,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,173,361,adjacent continuity around SAR 361,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.224,0.038813,0.999246,0.946706,1249.569,1009.313,155.122,72.032,335.199,16.565,16.565,18.790,71.210,1.146,0.776,valid fan interior,complete side view; front appears optical-left,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor; diagonal return at +u side,TRUE_NEIGHBORHOOD,0.000,0.000,8.846401,0.254793,1.942479,5.384113,25.500,0.708,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,174,362,adjacent continuity around SAR 361,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.272,0.039645,0.999214,0.940272,1256.024,1009.577,155.548,71.937,336.845,17.631,17.631,19.903,70.097,6.101,2.272,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,8.588379,0.204656,1.785778,5.134767,25.500,0.709,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
C02B,GM_RM017,GM_RM017:PV002,181,377,adjacent continuity around SAR 378,THREAD_STABLE_LOO,UNDIRECTED_HEAD_TAIL_NOT_TRANSFERRED,-2.406,0.041982,0.999118,0.831823,1350.017,1008.303,155.652,73.103,377.224,31.307,31.307,33.714,56.286,1.442,0.406,valid fan interior,side-dominant parked vehicle; head-tail SAR transfer unresolved,optical front/rear partly visible; mapping to SAR u sign not reliable,parked-road corridor / static background,TRUE_NEIGHBORHOOD,0.000,0.000,5.052368,0.089268,0.943578,3.013529,24.500,0.670,adjacent raw frame shows continuous translation/reorganization of the same near-side strip and endpoints rather than an isolated selected-frame flash,not needed for this continuity responsibility; raw gray only,VEHICLE_GROUND_MIXED_PLAUSIBLE,representative-frame cherry-picking as the sole source of continuity,vehicle-body; vehicle-ground; road/curb; imaging mixture,research_geometry_and_leave_one_frame_out_alignment_only; not_response_mask_not_runtime_input
