case_id,scene,canonical_vehicle_id,optical_frame,sar_frame,event_phase,evidence_role,sar_gt_id,gt_quality_status,identity_link_confidence,reference_center_x_px,reference_center_y_px,reference_long_axis_px,reference_short_axis_px,reference_long_axis_m_grid,reference_short_axis_m_grid,reference_axis_deg,fan_tangent_angle_deg_at_reference_center,axis_vs_fan_tangent_axial_difference_deg,raw_centered_contrast_corr_to_previous,vehicle_aligned_contrast_corr_to_previous,correlation_scope,gt_usage_boundary,note
B03,GM_RM017,GM_RM017:PV004,173,361,shared_inside_late,same_time_multivehicle_true_neighborhood,GM_RM017|000361|gm17supp_000173_000361_det1,usable,high,925.484,882.000,166.226,73.800,4.987,2.214,-3.000,-26.994,23.994,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV003,173,361,shared_inside_late,same_time_multivehicle_true_neighborhood,GM_RM017|000361|gm17supp_000173_000361_det3,usable,high,1090.856,942.248,176.842,72.626,5.305,2.179,-3.000,-9.235,6.235,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV002,173,361,shared_inside_late,same_time_multivehicle_true_neighborhood,GM_RM017|000361|gm17supp_000173_000361_det2,usable,high,1250.587,1008.787,162.497,71.039,4.875,2.131,-3.000,16.706,19.706,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV004,181,378,shared_post_for_pv002,same_time_multivehicle_true_neighborhood,GM_RM017|000378|gm17supp_000181_000378_det1,usable,high,1040.745,879.052,160.342,74.161,4.810,2.225,-3.000,-14.080,11.080,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV003,181,378,shared_post_for_pv002,same_time_multivehicle_true_neighborhood,GM_RM017|000378|gm17supp_000181_000378_det2,usable,high,1195.374,945.429,162.935,66.155,4.888,1.985,-3.000,6.131,9.131,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B03,GM_RM017,GM_RM017:PV002,181,378,shared_post_for_pv002,same_time_multivehicle_true_neighborhood,GM_RM017|000378|gm17supp_000181_000378_det3,usable,high,1353.751,1010.026,158.879,67.752,4.766,2.033,-3.000,31.927,34.927,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same SAR frame; pairwise azimuth order is the identity exclusion context.
B04,GM_RM011,GM_RM011:PV008,135,281,paired_identity_window,pairwise_order_fixed_true_neighborhood,GM_RM011|000281|gm_rm011_00126,usable,high,1086.400,1174.925,157.330,71.708,4.720,2.151,-89.000,-23.472,65.528,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Direction is nearly equal at SAR315; identity responsibility comes from pairwise azimuth order.
B04,GM_RM011,GM_RM011:PV007,135,281,paired_identity_window,pairwise_order_fixed_true_neighborhood,GM_RM011|000281|frameadd_gm_rm011_000135_000281_01,usable,high,1159.970,1194.189,168.352,77.542,5.051,2.326,-90.000,2.506,87.494,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Direction is nearly equal at SAR315; identity responsibility comes from pairwise azimuth order.
B04,GM_RM011,GM_RM011:PV008,151,315,paired_identity_window,pairwise_order_fixed_true_neighborhood,GM_RM011|000315|frameadd_gm_rm011_000151_000315_01,usable,high,1196.194,1196.731,163.084,73.900,4.893,2.217,-85.000,17.494,77.506,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Direction is nearly equal at SAR315; identity responsibility comes from pairwise azimuth order.
B04,GM_RM011,GM_RM011:PV007,151,315,paired_identity_window,pairwise_order_fixed_true_neighborhood,GM_RM011|000315|gm_rm011_00160,usable,high,1267.660,1209.040,142.840,70.111,4.285,2.103,-81.000,43.076,55.924,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Direction is nearly equal at SAR315; identity responsibility comes from pairwise azimuth order.
B05,GM_RM011,GM_RM011:PV001,8,16,control_comparison,true_gt_neighborhood,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,usable,high,1155.377,1248.565,135.333,64.847,4.060,1.945,-10.000,0.962,10.962,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV001,8,16,control_comparison,wrong_orientation_control,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,usable,high,1155.377,1248.565,135.333,64.847,4.060,1.945,80.000,0.962,79.038,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV001,8,16,control_comparison,radial_shift_control,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,usable,high,1158.216,1079.423,135.333,64.847,4.060,1.945,-10.000,0.962,10.962,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV001,8,16,control_comparison,fan_arc_background_control,GM_RM011|000016|GM_RM011|000016.png|000008.png|2|O2:car:0.72,usable,high,1157.643,1113.584,135.333,64.847,4.060,1.945,-10.000,0.962,10.962,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM017,GM_RM017:PV002,164,342,control_comparison,true_gt_neighborhood,GM_RM017|000342|gm_rm017_00048,usable,high,1127.160,1008.930,149.050,69.700,4.471,2.091,-2.000,-4.770,2.770,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM017,GM_RM017:PV002,164,342,control_comparison,wrong_orientation_control,GM_RM017|000342|gm_rm017_00048,usable,high,1127.160,1008.930,149.050,69.700,4.471,2.091,88.000,-4.770,87.230,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM017,GM_RM017:PV002,164,342,control_comparison,radial_shift_control,GM_RM017|000342|gm_rm017_00048,usable,high,1111.668,823.263,149.050,69.700,4.471,2.091,-2.000,-4.770,2.770,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM017,GM_RM017:PV002,164,342,control_comparison,fan_arc_background_control,GM_RM017|000342|gm_rm017_00048,usable,high,1144.022,1211.016,149.050,69.700,4.471,2.091,-2.000,-4.770,2.770,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV010,225,469,control_comparison,true_gt_neighborhood,GM_RM011|000469|gm_rm011_00192,usable,high,1141.200,1257.080,130.720,75.920,3.922,2.278,-3.000,-9.876,6.876,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV010,225,469,control_comparison,wrong_orientation_control,GM_RM011|000469|gm_rm011_00192,usable,high,1141.200,1257.080,130.720,75.920,3.922,2.278,87.000,-9.876,83.124,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV010,225,469,control_comparison,radial_shift_control,GM_RM011|000469|gm_rm011_00192,usable,high,1113.173,1096.102,130.720,75.920,3.922,2.278,-3.000,-9.876,6.876,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B05,GM_RM011,GM_RM011:PV010,225,469,control_comparison,fan_arc_background_control,GM_RM011|000469|gm_rm011_00192,usable,high,1118.045,1124.081,130.720,75.920,3.922,2.278,-3.000,-9.876,6.876,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,All controls preserve the target long/short physical-grid size; controls are not candidates.
B06,GM_RM017,GM_RM017:PV004,178,370,frozen_holdout_recheck,heldout_true_neighborhood,GM_RM017|000370|gm17supp_000178_000370_det3,usable,high,991.806,876.892,170.045,77.894,5.101,2.337,-3.000,-19.671,16.671,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Selected after B01-B05 mechanism wording was frozen; no parameter adjustment.
B06,GM_RM017,GM_RM017:PV004,178,370,frozen_holdout_recheck,heldout_radial_shift_control,GM_RM017|000370|gm17supp_000178_000370_det3,usable,high,920.255,676.741,170.045,77.894,5.101,2.337,-3.000,-19.671,16.671,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same target size and axis; outward radial shift; not a candidate.
B06,GM_RM017,GM_RM017:PV003,178,370,frozen_holdout_recheck,heldout_true_neighborhood,GM_RM017|000370|gm17supp_000178_000370_det2,usable,high,1150.939,943.927,165.845,70.300,4.975,2.109,-3.000,-0.454,2.546,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Selected after B01-B05 mechanism wording was frozen; no parameter adjustment.
B06,GM_RM017,GM_RM017:PV003,178,370,frozen_holdout_recheck,heldout_radial_shift_control,GM_RM017|000370|gm17supp_000178_000370_det2,usable,high,1149.298,736.627,165.845,70.300,4.975,2.109,-3.000,-0.454,2.546,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same target size and axis; outward radial shift; not a candidate.
B06,GM_RM017,GM_RM017:PV002,178,370,frozen_holdout_recheck,heldout_true_neighborhood,GM_RM017|000370|gm17supp_000178_000370_det1,usable,high,1307.319,1008.513,146.684,73.103,4.401,2.193,-3.000,25.455,28.455,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Selected after B01-B05 mechanism wording was frozen; no parameter adjustment.
B06,GM_RM017,GM_RM017:PV002,178,370,frozen_holdout_recheck,heldout_radial_shift_control,GM_RM017|000370|gm17supp_000178_000370_det1,usable,high,1386.126,842.958,146.684,73.103,4.401,2.193,-3.000,25.455,28.455,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same target size and axis; outward radial shift; not a candidate.
B06,GM_RM017,GM_RM017:PV004,178,371,frozen_holdout_recheck,heldout_true_neighborhood,GM_RM017|000371|gm_rm017_00092,usable,high,998.500,878.306,162.000,78.610,4.860,2.358,-4.000,-18.973,14.973,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Selected after B01-B05 mechanism wording was frozen; no parameter adjustment.
B06,GM_RM017,GM_RM017:PV004,178,371,frozen_holdout_recheck,heldout_radial_shift_control,GM_RM017|000371|gm_rm017_00092,usable,high,932.662,686.808,162.000,78.610,4.860,2.358,-4.000,-18.973,14.973,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same target size and axis; outward radial shift; not a candidate.
B06,GM_RM017,GM_RM017:PV003,178,371,frozen_holdout_recheck,heldout_true_neighborhood,GM_RM017|000371|gm_rm017_00091,usable,high,1152.908,943.743,146.453,74.638,4.394,2.239,-5.000,-0.162,4.838,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Selected after B01-B05 mechanism wording was frozen; no parameter adjustment.
B06,GM_RM017,GM_RM017:PV003,178,371,frozen_holdout_recheck,heldout_radial_shift_control,GM_RM017|000371|gm_rm017_00091,usable,high,1152.391,760.677,146.453,74.638,4.394,2.239,-5.000,-0.162,4.838,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same target size and axis; outward radial shift; not a candidate.
B06,GM_RM017,GM_RM017:PV002,178,371,frozen_holdout_recheck,heldout_true_neighborhood,GM_RM017|000371|gm_rm017_00090,usable,high,1308.500,1008.457,146.250,71.647,4.387,2.149,-2.000,25.622,27.622,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Selected after B01-B05 mechanism wording was frozen; no parameter adjustment.
B06,GM_RM017,GM_RM017:PV002,178,371,frozen_holdout_recheck,heldout_radial_shift_control,GM_RM017|000371|gm_rm017_00090,usable,high,1387.555,843.622,146.250,71.647,4.387,2.149,-2.000,25.622,27.622,,,descriptive_only_not_a_detector_or_score,center_axis_scale_reference_only_not_response_mask,Same target size and axis; outward radial shift; not a candidate.
