segment_id,scene,canonical_vehicle_id,benchmark_role,vehicle_research_role,sar_frame_start,sar_frame_end,frame_span,gt_frame_count,gt_row_count,eligible_frame_count,missing_frame_count,maximum_internal_gap,gt_quality_distribution,optical_visibility_distribution,pose_distribution,multi_vehicle_competition_count,mapping_anchor_count,preselected_12_count,structure_frame_coverage,segment_eligibility,exclusion_reason,recommended_usage,segmentation_rule
S0MV-GM_RM011-PV009-SEG01,GM_RM011,GM_RM011:PV009,diagnostic_only,diagnostic_only,335,335,1,1,1,0,0,0,diagnostic_only:1,partial_visible:1,pose_unstable:1,1,0,0,0.000000000,false,benchmark_role_not_development_or_heldout;fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV010-SEG01,GM_RM011,GM_RM011:PV010,development,structure_development,442,444,3,2,2,2,1,2,usable:2,partial_visible:2,pose_unstable:2,0,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV010-SEG02,GM_RM011,GM_RM011:PV010,development,structure_development,469,469,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,0,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV010-SEG03,GM_RM011,GM_RM011:PV010,development,structure_development,506,510,5,2,2,2,3,4,usable:2,partial_visible:2,pose_unstable:2,2,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM011-PV011-SEG01,GM_RM011,GM_RM011:PV011,development,diagnostic_only,506,510,5,2,2,2,3,4,usable:2,partial_visible:2,pose_unstable:2,2,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM017-PV002-SEG01,GM_RM017,GM_RM017:PV002,development,structure_development,302,302,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM017-PV002-SEG02,GM_RM017,GM_RM017:PV002,development,structure_development,310,386,77,66,67,65,11,5,diagnostic_only:2;usable:65,full_visible:37;partial_visible:30,left_side_dominant:37;pose_unstable:30,67,20,4,0.984848485,true,,s1l_development_sequence,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM017-PV003-SEG01,GM_RM017,GM_RM017:PV003,heldout_validation,structure_heldout_validation,315,394,80,73,75,67,7,2,diagnostic_only:8;usable:67,full_visible:56;partial_visible:19,left_side_dominant:56;pose_unstable:19,75,27,4,0.917808219,true,,s1l_heldout_sequence,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM017-PV004-SEG01,GM_RM017,GM_RM017:PV004,heldout_validation,structure_heldout_validation,337,394,58,58,58,58,0,1,usable:58,full_visible:43;partial_visible:15,left_side_dominant:43;pose_unstable:15,58,18,4,1.000000000,true,,s1l_heldout_sequence,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM017-PV004-SEG02,GM_RM017,GM_RM017:PV004,heldout_validation,structure_heldout_validation,429,429,1,1,2,1,0,0,diagnostic_only:1;usable:1,partial_visible:2,pose_unstable:2,2,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM017-PV004-SEG03,GM_RM017,GM_RM017:PV004,heldout_validation,structure_heldout_validation,438,446,9,3,4,2,6,4,diagnostic_only:2;usable:2,partial_visible:4,pose_unstable:4,2,0,0,0.666666667,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV001-SEG01,GM_RM019,GM_RM019:PV001,development,structure_development,0,8,9,3,5,3,6,4,diagnostic_only:2;usable:3,partial_visible:5,pose_unstable:5,5,0,0,1.000000000,true,,s1l_development_sequence,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV001-SEG02,GM_RM019,GM_RM019:PV001,development,structure_development,27,27,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,1,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV002-SEG01,GM_RM019,GM_RM019:PV002,heldout_validation,structure_heldout_validation,27,31,5,2,3,2,3,4,diagnostic_only:1;usable:2,partial_visible:3,pose_unstable:3,3,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV002-SEG02,GM_RM019,GM_RM019:PV002,heldout_validation,structure_heldout_validation,77,81,5,2,2,2,3,4,usable:2,partial_visible:2,pose_unstable:2,0,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV002-SEG03,GM_RM019,GM_RM019:PV002,heldout_validation,structure_heldout_validation,88,88,1,1,1,1,0,0,usable:1,partial_visible:1,pose_unstable:1,0,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV003-SEG01,GM_RM019,GM_RM019:PV003,diagnostic_only,diagnostic_only,212,212,1,1,1,0,0,0,diagnostic_only:1,partial_visible:1,pose_unstable:1,0,0,0,0.000000000,false,benchmark_role_not_development_or_heldout;fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV003-SEG02,GM_RM019,GM_RM019:PV003,diagnostic_only,diagnostic_only,238,238,1,1,1,0,0,0,diagnostic_only:1,partial_visible:1,pose_unstable:1,0,0,0,0.000000000,false,benchmark_role_not_development_or_heldout;fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV003-SEG03,GM_RM019,GM_RM019:PV003,diagnostic_only,diagnostic_only,269,273,5,2,2,0,3,4,diagnostic_only:2,partial_visible:2,pose_unstable:2,0,0,0,0.000000000,false,benchmark_role_not_development_or_heldout;fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV003-SEG04,GM_RM019,GM_RM019:PV003,diagnostic_only,diagnostic_only,288,290,3,2,2,0,1,2,diagnostic_only:2,partial_visible:2,pose_unstable:2,0,0,0,0.000000000,false,benchmark_role_not_development_or_heldout;fewer_than_3_structure_eligible_gt_frames;structure_eligible_coverage_below_0p5,diagnostic_only,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV004-SEG01,GM_RM019,GM_RM019:PV004,heldout_validation,structure_heldout_validation,315,317,3,2,2,2,1,2,usable:2,partial_visible:2,pose_unstable:2,0,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
S0MV-GM_RM019-PV004-SEG02,GM_RM019,GM_RM019:PV004,heldout_validation,structure_heldout_validation,350,354,5,2,2,2,3,4,gold:1;usable:1,full_visible:1;partial_visible:1,left_side_dominant:1;pose_unstable:1,0,0,0,1.000000000,false,fewer_than_3_structure_eligible_gt_frames,single_frame_coordinate_check,split_when_consecutive_unique_gt_frame_gap_gt_5
