atlas_version,window_id,case_id,scene,canonical_vehicle_id,sar_frame,coordinate_system,source_role,review_status,label,component_id,geometry_type,points,length_px,confidence,notes
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"968.293,1087.731;1052.293,1066.731;1142.293,1061.731;1252.293,1070.731;1314.293,1093.731",353.220,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,344,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1272.293,999.731;1328.293,1009.731;1344.293,1085.731",134.552,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1167.320,984.422;1171.320,1122.422",138.058,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"1001.320,1087.422;1085.320,1066.422;1175.320,1059.422;1285.320,1067.422;1355.320,1092.422",361.478,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_CANONICAL_GM_RM017_PV002_330_350,PV002_330_350,GM_RM017,GM_RM017:PV002,350,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1305.320,988.422;1367.320,1002.422;1381.320,1074.422",136.909,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,360,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1136.560,943.827;1143.560,1037.827",94.260,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,360,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"1191.560,1005.827;1257.560,1015.827;1267.560,1057.827",109.927,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,360,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"921.560,1017.827;1007.560,999.827;1095.560,995.827;1201.560,1009.827",282.875,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,364,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1138.883,929.254;1142.883,1051.254",122.066,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,364,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"946.883,1023.254;1034.883,1001.254;1134.883,995.254;1244.883,1008.254;1286.883,1029.254",348.611,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,364,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1228.883,991.254;1296.883,997.254;1308.883,1061.254",133.379,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,372,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1149.105,921.444;1153.105,1061.444",140.057,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,372,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"993.105,1025.444;1081.105,1003.444;1171.105,996.444;1283.105,1005.444;1343.105,1031.444",358.732,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,372,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1289.105,971.444;1357.105,979.444;1371.105,1051.444",141.817,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,378,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1153.374,933.429;1157.374,1057.429",124.064,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,378,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"1019.374,1031.429;1101.374,1011.429;1189.374,1003.429;1299.374,1009.429;1371.374,1033.429",358.825,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,378,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1321.374,973.429;1383.374,979.429;1399.374,1049.429",134.095,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,384,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,0,free_polyline,"1167.552,933.773;1171.552,1045.773",112.071,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,384,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,1,free_polyline,"1053.552,1029.773;1131.552,1009.773;1213.552,1001.773;1315.552,1007.773;1399.552,1029.773",351.922,0.0,actual current-frame background line/arc/hotspot/clutter control
OTY2-RSA0-response-atlas-v1-free-geometry,RSA0_SECONDARY_GM_RM017_PV003_360_384,PV003_360_384,GM_RM017,GM_RM017:PV003,384,sar_display_px,direct_codex_visual_review_free_geometry,directly_reviewed_by_codex_r1,DEFINITE_BACKGROUND,2,free_polyline,"1353.552,969.773;1419.552,977.773;1435.552,1045.773",136.340,0.0,actual current-frame background line/arc/hotspot/clutter control
