edge_id,source_object_id,target_object_id,source_frame,target_frame,centroid_distance_px,line_to_line_support_distance_px,axis_difference_deg,length_ratio,relation_event,relation_basis,allowed_conclusion,forbidden_conclusion
EDGE_G1F0002_S0344_B004_G1F0002_S0347_B003,G1F0002_S0344_B004,G1F0002_S0347_B003,344,347,54.895,20.170,0.000,2.310,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0344_B004_G1F0002_S0347_B004,G1F0002_S0344_B004,G1F0002_S0347_B004,344,347,34.702,5.160,0.000,2.106,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0347_B004_G1F0002_S0348_B008,G1F0002_S0347_B004,G1F0002_S0348_B008,347,348,84.702,9.786,0.000,2.735,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0347_B004_G1F0002_S0348_B009,G1F0002_S0347_B004,G1F0002_S0348_B009,347,348,20.968,15.169,0.000,3.279,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0348_B008_G1F0002_S0349_B005,G1F0002_S0348_B008,G1F0002_S0349_B005,348,349,9.883,7.648,0.000,1.998,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0348_B009_G1F0002_S0349_B005,G1F0002_S0348_B009,G1F0002_S0349_B005,348,349,77.867,18.752,0.000,2.395,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_G1F0002_S0348_B009_G1F0002_S0349_B006,G1F0002_S0348_B009,G1F0002_S0349_B006,348,349,62.748,18.555,0.000,1.729,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC2_S0342_B001_ROAD_RC2_S0343_B001,ROAD_RC2_S0342_B001,ROAD_RC2_S0343_B001,342,343,8.678,0.452,0.000,1.073,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC3_S0342_B001_ROAD_RC3_S0343_B002,ROAD_RC3_S0342_B001,ROAD_RC3_S0343_B002,342,343,30.924,6.106,0.000,1.439,CONTRACTS_OR_FRAGMENTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC3_S0342_B001_ROAD_RC3_S0343_B003,ROAD_RC3_S0342_B001,ROAD_RC3_S0343_B003,342,343,38.414,36.447,0.000,1.094,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC1_S0347_B001_ROAD_RC1_S0348_B002,ROAD_RC1_S0347_B001,ROAD_RC1_S0348_B002,347,348,8.772,7.911,0.000,1.553,EXPANDS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC2_S0347_B001_ROAD_RC2_S0348_B001,ROAD_RC2_S0347_B001,ROAD_RC2_S0348_B001,347,348,11.359,8.488,0.000,1.036,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC3_S0348_B001_ROAD_RC3_S0349_B001,ROAD_RC3_S0348_B001,ROAD_RC3_S0349_B001,348,349,30.680,29.869,0.000,1.114,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
EDGE_ROAD_RC3_S0348_B001_ROAD_RC3_S0349_B002,ROAD_RC3_S0348_B001,ROAD_RC3_S0349_B002,348,349,34.968,34.859,0.000,1.039,PERSISTS_OR_SHIFTS,IMAGE_OBJECT_GEOMETRY_ONLY_NO_TARGET_GT,candidate role relation across adjacent frames,same physical scatterer or final target identity
