object_id,case_id,scene,sar_frame,object_type,source_operator,endpoint_1_xy,endpoint_2_xy,centroid_xy,length_px,width_px,axis_deg,axis_error_to_allowed_prior_deg,mean_response,peak_response,persistence_group,primary_object,parent_band_id,allowed_near_side_relation_fraction,support_fragment_count,attached_hotspot_count,background_crossing_flag,uncertainty_state,posthoc_gt_overlap_fraction,posthoc_nsb_overlap_fraction,runtime_gt_access,posthoc_audit_status,forbidden_conclusion,notes
G1F0002_S0339_R011,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[991.020,925.235]","[962.001,924.902]","[976.511,925.069]",30.021,7.844,0.657,3.657,0.122516,0.760549,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R012,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1234.012,920.212]","[1215.016,921.286]","[1224.514,920.749]",20.026,1.835,-3.235,0.235,0.154030,0.485754,,false,G1F0002_S0339_B003,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R013,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1064.000,935.005]","[1035.002,935.049]","[1049.501,935.027]",29.998,4.305,-0.086,2.914,0.070983,0.354521,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R014,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1234.080,937.261]","[1197.855,933.345]","[1215.967,935.303]",37.436,6.703,6.169,9.169,0.126281,0.529782,,false,G1F0002_S0339_B003,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R015,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1281.551,937.228]","[1250.436,951.198]","[1265.993,944.213]",35.108,13.487,-24.179,21.179,0.082030,0.630116,,false,,0.000000,0,0,true,BACKGROUND_CROSSING_CANDIDATE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R016,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1147.978,937.713]","[1131.993,937.217]","[1139.986,937.465]",16.992,3.254,1.776,4.776,0.118939,0.389851,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R017,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1027.008,941.486]","[987.986,942.101]","[1007.497,941.793]",40.027,4.907,-0.903,2.097,0.139457,0.788641,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R018,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1088.000,941.000]","[1101.000,941.000]","[1094.500,941.000]",14.000,1.000,0.000,3.000,0.069297,0.377299,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R019,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1210.958,947.566]","[1192.835,946.220]","[1201.897,946.893]",19.173,5.498,4.248,7.248,0.246835,1.000000,,false,G1F0002_S0339_B003,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R020,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1006.031,948.386]","[971.019,946.617]","[988.525,947.501]",36.056,2.165,2.892,5.892,0.219228,0.775438,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R021,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1067.998,952.025]","[1047.034,950.523]","[1057.516,951.274]",22.018,2.637,4.097,7.097,0.122985,0.416413,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R022,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1113.006,952.066]","[1087.132,954.441]","[1100.069,953.254]",26.983,3.905,-5.243,2.243,0.108126,0.328847,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R023,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1026.910,964.069]","[957.103,963.038]","[992.007,963.554]",70.815,16.108,0.846,3.846,0.240912,0.735671,,false,,0.000000,0,0,true,BACKGROUND_CROSSING_CANDIDATE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R024,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1150.991,955.222]","[1132.981,954.461]","[1141.986,954.841]",19.026,1.881,2.417,5.417,0.162580,0.399284,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R025,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1286.587,1004.255]","[1022.440,1040.690]","[1154.514,1022.472]",267.648,82.125,-7.854,4.854,0.152893,0.932737,,false,,0.000000,0,0,true,BACKGROUND_CROSSING_CANDIDATE,0.593284,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R026,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1214.965,969.376]","[1121.030,971.389]","[1167.997,970.382]",94.957,8.749,-1.227,1.773,0.124157,0.674099,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.705263,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R027,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1183.042,987.949]","[1066.986,983.349]","[1125.014,985.649]",117.147,7.017,2.270,5.270,0.121574,0.649201,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R028,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1128.000,990.324]","[1113.001,990.301]","[1120.500,990.313]",15.998,2.012,0.085,3.085,0.132962,0.380857,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R029,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1036.994,992.913]","[1018.021,994.286]","[1027.507,993.599]",20.023,1.788,-4.137,1.137,0.180350,0.440312,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.350000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R030,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1158.998,996.033]","[1141.022,994.705]","[1150.010,995.369]",19.025,1.791,4.224,7.224,0.180153,0.437477,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R031,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1193.839,1001.064]","[1174.820,998.188]","[1184.330,999.626]",20.235,5.082,8.600,11.600,0.195926,0.675732,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.800000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R032,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1156.985,1006.581]","[1140.006,1007.172]","[1148.496,1006.876]",17.990,2.051,-1.993,1.007,0.177977,0.464238,,false,G1F0002_S0339_B002,0.000000,0,0,false,SUPPORTING_PRIMITIVE,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R033,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[981.081,1030.119]","[964.040,1028.559]","[972.561,1029.339]",18.112,2.563,5.232,8.232,0.136546,0.376576,,false,,0.000000,0,0,true,BACKGROUND_CROSSING_CANDIDATE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R034,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[997.768,1044.488]","[983.593,1037.752]","[990.681,1041.120]",16.694,5.898,25.417,28.417,0.104418,0.435450,,false,,0.000000,0,0,false,STRUCTURE_CANDIDATE,0.000000,0.235294,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R035,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1159.117,1057.731]","[1139.035,1057.014]","[1149.076,1057.372]",21.094,11.668,2.044,5.044,0.074589,0.390678,,false,G1F0002_S0339_B005,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,1.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R036,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1059.022,1052.918]","[1046.007,1052.654]","[1052.515,1052.786]",14.018,2.932,1.165,4.165,0.189959,0.334105,,false,G1F0002_S0339_B006,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,1.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R037,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1044.948,1056.533]","[1030.899,1058.086]","[1037.924,1057.309]",15.135,2.989,-6.310,3.310,0.153612,0.379054,,false,G1F0002_S0339_B006,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,1.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R038,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1239.044,1061.646]","[1195.962,1056.309]","[1217.503,1058.978]",44.411,2.478,7.063,10.063,0.493090,0.959095,,false,G1F0002_S0339_B005,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,1.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R039,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1000.000,1060.000]","[1015.000,1060.000]","[1007.500,1060.000]",16.000,1.000,0.000,3.000,0.109779,0.331115,,false,G1F0002_S0339_B006,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,1.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R040,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1157.444,1064.841]","[1139.268,1073.559]","[1148.356,1069.200]",21.159,6.293,-25.624,22.624,0.108265,0.336587,,false,G1F0002_S0339_B007,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,1.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R041,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1007.012,1075.054]","[985.717,1079.706]","[996.365,1077.380]",22.797,8.612,-12.323,9.323,0.121741,0.506865,,false,G1F0002_S0339_B006,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R042,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1147.516,1076.410]","[1129.649,1081.847]","[1138.583,1079.129]",19.676,4.943,-16.925,13.925,0.091579,0.486352,,false,G1F0002_S0339_B007,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.250000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R043,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1181.000,1086.000]","[1196.000,1086.000]","[1188.500,1086.000]",16.000,1.000,0.000,3.000,0.080706,0.385275,,false,G1F0002_S0339_B007,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R044,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1211.981,1093.258]","[1198.977,1092.310]","[1205.479,1092.784]",14.038,1.830,4.169,7.169,0.109633,0.368907,,false,G1F0002_S0339_B007,0.000000,0,0,false,SUPPORTING_PRIMITIVE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_R045,G1F0002,GM_RM017,339,OPEN_RIDGE_SEGMENT,MULTISCALE_DOG_FRANGI_SKELETON,"[1160.063,1105.251]","[1140.206,1103.571]","[1150.134,1104.411]",20.929,5.863,4.837,7.837,0.083931,0.527910,,false,,0.000000,0,0,true,BACKGROUND_CROSSING_CANDIDATE,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_L046,G1F0002,GM_RM017,339,OPEN_LSD_SEGMENT,LSD_STD_PLUS_RESPONSE_GATE,"[1098.424,1029.410]","[1083.020,1032.072]","[1090.722,1030.741]",15.632,1.000,-9.802,6.802,0.232708,0.360138,,false,,0.000000,0,0,false,STRUCTURE_CANDIDATE,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H047,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1238.879,1043.000]","[1243.121,1043.000]","[1241.000,1043.000]",4.243,4.243,-3.000,0.000,1.000000,1.000000,,true,G1F0002_S0339_B005,0.000000,0,0,false,BAND_ATTACHED_HOTSPOT,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H048,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1190.879,945.000]","[1195.121,945.000]","[1193.000,945.000]",4.243,4.243,-3.000,0.000,1.000000,1.000000,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H049,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1043.879,1017.000]","[1048.121,1017.000]","[1046.000,1017.000]",4.243,4.243,-3.000,0.000,1.000000,1.000000,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H050,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1273.879,1088.000]","[1278.121,1088.000]","[1276.000,1088.000]",4.243,4.243,-3.000,0.000,0.957647,0.957647,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H051,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1159.879,1026.000]","[1164.121,1026.000]","[1162.000,1026.000]",4.243,4.243,-3.000,0.000,1.000000,1.000000,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,1.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H052,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1240.879,1002.000]","[1245.121,1002.000]","[1243.000,1002.000]",4.243,4.243,-3.000,0.000,0.973447,0.973447,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H053,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[966.879,970.000]","[971.121,970.000]","[969.000,970.000]",4.243,4.243,-3.000,0.000,0.798193,0.798193,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
G1F0002_S0339_H054,G1F0002,GM_RM017,339,HOTSPOT_CLUSTER,MULTISCALE_LOG_ON_COMBINED_RESPONSE,"[1260.879,971.000]","[1265.121,971.000]","[1263.000,971.000]",4.243,4.243,-3.000,0.000,1.000000,1.000000,,false,,0.000000,0,0,false,UNATTACHED_HOTSPOT_SUPPRESSED,0.000000,0.000000,TARGET_SAR_GT_NOT_ACCESSED_AT_RUNTIME,NOT_AUDITED,"not a response mask, target centre, winner, final box, or training annotation",
