"scene","asset_id","asset_type","source_or_variant","path","coverage_status","frame_start","frame_end","row_count","frames_with_data","frames_without_data","shape_or_dimension","schema_or_quality_summary","reuse_decision","regeneration_required","notes"
"GM_RM019","P1A_GM019_Y11L","detection_table","YOLO11l","outputs/oty0_yolo_detection_stream_audit_20260701_170751/oty0_yolo_detection_table.csv","complete_368","0","367","334","193","175","15 columns; bbox/confidence/class/path","low_conf<0.50:158; border-touch:175; IoU>=0.70 pairs:2; car327/truck1/bus6","reuse_as_supplement","no","93 single-box and 100 multi-box frames; low-confidence load is high."
"GM_RM019","P1A_GM019_Y26L","detection_table","YOLO26l","outputs/oty2_yolo26l_detector_quality_probe_20260704_231830/oty0_yolo_detection_stream_audit_yolo26l_gm_rm019/oty0_yolo_detection_table.csv","complete_368","0","367","288","193","175","15 columns; bbox/confidence/class/path","low_conf<0.50:85; border-touch:169; IoU>=0.70 pairs:18; car285/truck2/bus1","reuse_as_backbone_after_normalization","no","121 single-box and 72 multi-box frames; same frame coverage with fewer low-confidence rows than YOLO11l."
"GM_RM011","P1A_GM011_Y26N_PARTIAL","detection_table","YOLO26n_downloaded","outputs/oty2/detector_swap_timeline_stability_probe_20260705_221415/detector_tables/ultralytics_yolo26n_downloaded/GM_RM011/oty0_yolo_detection_table.csv","window_only","13","292","93","56","","15 columns; sparse diagnostic windows","car73 plus boat10/mouse5/surfboard4/motorcycle1","reuse_window_evidence_only","no","Not a complete 368-frame detector source; 20 non-vehicle-class rows."
"GM_RM017","P1A_GM017_Y26N_PARTIAL","detection_table","YOLO26n_downloaded","outputs/oty2/detector_swap_timeline_stability_probe_20260705_221415/detector_tables/ultralytics_yolo26n_downloaded/GM_RM017/oty0_yolo_detection_table.csv","window_only","121","214","223","79","","15 columns; sparse diagnostic window","car159/truck41 plus fire_hydrant18/potted_plant4/person1","reuse_window_evidence_only","no","Not a complete 368-frame detector source; 23 non-vehicle-class rows."
"GM_RM011","P1A_GM011_Y11L_NORM","normalized_detection_table","YOLO11l normalized-active","outputs/oty0_pretracking_observation_normalization_probe_20260705_024520/GM_RM011_yolo11l_baseline_normalized_detection_table.csv","complete_detection_rows","0","352","422","233","135","24 fields with observation_group/action/provenance","413 active; 9 duplicate-like rows inactive","reuse_as_supplement","no","Same-frame geometry normalization only; safe_for_identity_claim=false."
"GM_RM011","P1A_GM011_Y26L_NORM","normalized_detection_table","YOLO26l normalized-active","outputs/oty0_pretracking_observation_normalization_probe_20260705_024520/GM_RM011_yolo26l_probe_normalized_detection_table.csv","complete_detection_rows","0","316","413","243","125","24 fields with observation_group/action/provenance","383 active; 30 duplicate-like rows inactive","reuse_as_backbone","no","Preserves duplicate/context rows and marks active_for_tracking."
"GM_RM017","P1A_GM017_Y11L_NORM","normalized_detection_table","YOLO11l normalized-active","outputs/oty0_pretracking_observation_normalization_probe_20260705_024520/GM_RM017_yolo11l_baseline_normalized_detection_table.csv","complete_detection_rows","117","367","215","100","268","24 fields with observation_group/action/provenance","215 active; 0 inactive","reuse_as_supplement","no","Many rows are block-auto-grouping/review context rather than identity truth."
"GM_RM017","P1A_GM017_Y26L_NORM","normalized_detection_table","YOLO26l normalized-active","outputs/oty0_pretracking_observation_normalization_probe_20260705_024520/GM_RM017_yolo26l_probe_normalized_detection_table.csv","complete_detection_rows","80","367","215","104","264","24 fields with observation_group/action/provenance","211 active; 4 duplicate-like rows inactive","reuse_as_backbone","no","Same-frame normalization does not solve four-vehicle identity competition."
"GM_RM019","P1A_GM019_Y11L_NORM","normalized_detection_table","YOLO11l normalized-active","outputs/oty0_pretracking_observation_normalization_probe_20260705_024520/GM_RM019_yolo11l_baseline_normalized_detection_table.csv","complete_detection_rows","0","357","334","193","175","24 fields with observation_group/action/provenance","330 active; 4 duplicate-like rows inactive","reuse_as_supplement","no","Low-confidence rows remain available as review context."
"GM_RM019","P1A_GM019_Y26L_NORM","normalized_detection_table","YOLO26l normalized-active","outputs/oty0_pretracking_observation_normalization_probe_20260705_024520/GM_RM019_yolo26l_probe_normalized_detection_table.csv","complete_detection_rows","0","319","288","193","175","24 fields with observation_group/action/provenance","272 active; 16 duplicate-like rows inactive","reuse_as_backbone","no","Provides the matching source for current embedding and MOT assets."
"GM_RM011","P1A_GM011_Y26L_BOTSORT_RAW","tracker_assignment","BoT-SORT raw YOLO26l","outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv","complete_detection_replay","0","316","413","243","125","18 tracks; 345 tracked; 68 unmatched","length min/median/max=1/17.5/43","reuse_as_short_tracklet_seed","no","with_reid=false; replay used blank images; tracker ID is not vehicle identity."
"GM_RM011","P1A_GM011_Y26L_BYTETRACK_RAW","tracker_assignment","ByteTrack raw YOLO26l","outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM011_yolo26l_probe_bytetrack_raw/oty1t_tracker_detection_assignments.csv","complete_detection_replay","0","316","413","243","125","23 tracks; 324 tracked; 89 unmatched","length min/median/max=1/12/40","reuse_as_secondary_tracklet_seed","no","More fragmented than BoT-SORT; tracker ID is not vehicle identity."
"GM_RM017","P1A_GM017_Y26L_BOTSORT_RAW","tracker_assignment","BoT-SORT raw YOLO26l","outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM017_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv","complete_detection_replay","80","367","215","104","264","4 tracks; 191 tracked; 24 unmatched","length min/median/max=41/48.5/53","reuse_as_short_tracklet_seed","no","Four long tracks correspond to four concurrent vehicles; not a three-ID truth table."
"GM_RM017","P1A_GM017_Y26L_BYTETRACK_RAW","tracker_assignment","ByteTrack raw YOLO26l","outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM017_yolo26l_probe_bytetrack_raw/oty1t_tracker_detection_assignments.csv","complete_detection_replay","80","367","215","104","264","4 tracks; 187 tracked; 28 unmatched","length min/median/max=40/48/51","reuse_as_secondary_tracklet_seed","no","Useful cross-tracker agreement but no appearance association."
"GM_RM019","P1A_GM019_Y26L_BOTSORT_RAW","tracker_assignment","BoT-SORT raw YOLO26l","outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM019_yolo26l_probe_botsort_raw/oty1t_tracker_detection_assignments.csv","complete_detection_replay","0","319","288","193","175","14 tracks; 200 tracked; 88 unmatched","length min/median/max=1/11/43","reuse_as_short_tracklet_seed","no","Several physical vehicles are fragmented into multiple track IDs."
"GM_RM019","P1A_GM019_Y26L_BYTETRACK_RAW","tracker_assignment","ByteTrack raw YOLO26l","outputs/oty2_wgv3_3a_yolo26l_mot_replay_20260710_000000/GM_RM019_yolo26l_probe_bytetrack_raw/oty1t_tracker_detection_assignments.csv","complete_detection_replay","0","319","288","193","175","15 tracks; 194 tracked; 94 unmatched","length min/median/max=1/6/42","reuse_as_secondary_tracklet_seed","no","Fragmentation is stronger than BoT-SORT."
"GM_RM011","P1A_GM011_RESNET18_DET","appearance_embedding","ResNet18 ImageNet per-detection","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/crop_reid_embedding_probe_20260710_000000_yolo26l/crop_reid_embedding_index.csv","complete_yolo26l_rows","0","316","413","243","125","512D L2-normalized","413 valid crops; zero crop/embedding failures","reuse_as_soft_evidence","no","Not a dedicated vehicle ReID model."
"GM_RM017","P1A_GM017_RESNET18_DET","appearance_embedding","ResNet18 ImageNet per-detection","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/crop_reid_embedding_probe_20260710_000000_yolo26l/crop_reid_embedding_index.csv","complete_yolo26l_rows","80","367","215","104","264","512D L2-normalized","215 valid crops; zero crop/embedding failures","reuse_as_soft_evidence","no","Long-track minimum intra-track cosine falls to 0.476059; appearance cannot be hard identity."
"GM_RM019","P1A_GM019_RESNET18_DET","appearance_embedding","ResNet18 ImageNet per-detection","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/crop_reid_embedding_probe_20260710_000000_yolo26l/crop_reid_embedding_index.csv","complete_yolo26l_rows","0","319","288","193","175","512D L2-normalized","288 valid crops; zero crop/embedding failures","reuse_as_soft_evidence","no","Similar gray vehicles require motion/entry-exit evidence beyond appearance."
"GM_RM011","P1A_GM011_EMB_LINK","embedding_tracker_linkage","both raw YOLO26l trackers","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/embedding_track_linkage_probe_20260710_000000_yolo26l/embedding_track_linkage_rows.csv","complete_yolo26l_linkage","0","316","826","243","125","det_id plus tracker/embedding provenance","two tracker linkage rows per detection where applicable","reuse","no","Allows tracklet-level appearance aggregation without losing detection provenance."
"GM_RM017","P1A_GM017_EMB_LINK","embedding_tracker_linkage","both raw YOLO26l trackers","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/embedding_track_linkage_probe_20260710_000000_yolo26l/embedding_track_linkage_rows.csv","complete_yolo26l_linkage","80","367","430","104","264","det_id plus tracker/embedding provenance","two tracker linkage rows per detection where applicable","reuse","no","Tracker names must remain part of the key."
"GM_RM019","P1A_GM019_EMB_LINK","embedding_tracker_linkage","both raw YOLO26l trackers","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/embedding_track_linkage_probe_20260710_000000_yolo26l/embedding_track_linkage_rows.csv","complete_yolo26l_linkage","0","319","576","193","175","det_id plus tracker/embedding provenance","two tracker linkage rows per detection where applicable","reuse","no","Do not merge track IDs across trackers by numeric suffix."
"GM_RM011","P1A_GM011_TRACKLET_EMB","tracklet_embedding","BoT-SORT raw segments","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv","segment_index","0","315","33","","","512D mean then L2 normalize","minimum intra-segment cosine=0.710180","reuse_as_soft_evidence","no","Segments are appearance summaries, not identity labels."
"GM_RM017","P1A_GM017_TRACKLET_EMB","tracklet_embedding","BoT-SORT raw segments","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv","segment_index","118","214","4","","","512D mean then L2 normalize","minimum intra-segment cosine=0.476059","reuse_with_downweighting","no","Three of four long segments are appearance-unstable; do not use as truth."
"GM_RM019","P1A_GM019_TRACKLET_EMB","tracklet_embedding","BoT-SORT raw segments","outputs/oty2_wgv3_3a_yolo26l_embedding_source_20260710_000000/oty2/tracklet_embedding_aggregation_probe_20260710_000000_yolo26l/tracklet_embedding_index.csv","segment_index","0","261","16","","","512D mean then L2 normalize","minimum intra-segment cosine=0.574272","reuse_as_soft_evidence","no","Useful for candidate costs only."
