object_id,area_px,bbox_x1,bbox_y1,bbox_x2,bbox_y2,centroid_x,centroid_y,window_id,window_role,object_semantics
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0011,69,1276,969,1287,978,1281.463768115942,973.0579710144928,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0012,153,1303,970,1327,980,1313.3333333333333,974.8300653594771,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0013,248,1078,1027,1110,1040,1093.5403225806451,1033.758064516129,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0014,55,1198,1027,1211,1034,1204.0181818181818,1030.1636363636364,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0015,58,1049,1033,1060,1041,1054.2068965517242,1036.8275862068965,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0016,70,1000,1034,1017,1040,1008.4571428571429,1037.1,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-DISCOVERY_GM_RM017_PV002_330_350-0017,86,1213,1068,1223,1085,1216.9767441860465,1076.4651162790697,DISCOVERY_GM_RM017_PV002_330_350,discovery,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-REPLAY_GM_RM017_PV003_338_391-0001,147,552,744,578,766,567.3673469387755,754.4353741496599,REPLAY_GM_RM017_PV003_338_391,frozen_rule_replay,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-REPLAY_GM_RM017_PV003_338_391-0002,223,963,963,1007,974,984.3094170403588,968.5650224215246,REPLAY_GM_RM017_PV003_338_391,frozen_rule_replay,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-REPLAY_GM_RM017_PV003_338_391-0003,54,888,969,905,976,895.1111111111111,971.9444444444445,REPLAY_GM_RM017_PV003_338_391,frozen_rule_replay,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-REPLAY_GM_RM017_PV003_338_391-0004,70,1140,1030,1160,1038,1148.7571428571428,1033.5857142857142,REPLAY_GM_RM017_PV003_338_391,frozen_rule_replay,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-REPLAY_GM_RM017_PV003_338_391-0005,52,1059,1034,1072,1040,1064.4615384615386,1036.4615384615386,REPLAY_GM_RM017_PV003_338_391,frozen_rule_replay,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
S1X-SARONLY-REPLAY_GM_RM017_PV003_338_391-0006,55,817,1183,826,1196,821.6909090909091,1188.6363636363637,REPLAY_GM_RM017_PV003_338_391,frozen_rule_replay,BLIND_SAR_TEMPORAL_RESPONSE_OBJECT_NOT_VEHICLE_IDENTITY
