failure_id,baseline,benchmark_role,scene,canonical_vehicle_id,runtime_local_subject_id,frame_start,frame_end,failure_type,evidence,identity_consequence,review_priority,notes
P1F_EVAL_F00011,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV009,,156,156,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00012,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV009,,158,160,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00013,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV009,,162,187,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00014,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV009,,190,191,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00015,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV009,,193,196,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00016,A_YOLO26L,development,GM_RM011,GM_RM011:PV010,,240,241,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00017,A_YOLO26L,development,GM_RM011,GM_RM011:PV011,,265,265,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00018,A_YOLO26L,development,GM_RM011,GM_RM011:PV012,,267,268,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00019,A_YOLO26L,heldout_validation,GM_RM011,GM_RM011:PV013,,288,288,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00020,A_YOLO26L,heldout_validation,GM_RM011,GM_RM011:PV013,,295,295,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00021,A_YOLO26L,heldout_validation,GM_RM011,GM_RM011:PV013,,301,301,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00022,A_YOLO26L,diagnostic_only,GM_RM011,GM_RM011:PV014,,307,336,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00023,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV004,,59,59,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00024,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV004,,61,75,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00025,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV004,,77,87,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00026,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV006,,120,122,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00027,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV007,,150,150,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00028,B_MULTI_SOURCE_SELECTION,heldout_validation,GM_RM011,GM_RM011:PV008,,162,162,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00029,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV009,,168,187,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00030,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV009,,193,193,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00031,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV009,,195,196,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00032,B_MULTI_SOURCE_SELECTION,heldout_validation,GM_RM011,GM_RM011:PV013,,295,295,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00033,B_MULTI_SOURCE_SELECTION,heldout_validation,GM_RM011,GM_RM011:PV013,,301,301,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00034,B_MULTI_SOURCE_SELECTION,diagnostic_only,GM_RM011,GM_RM011:PV014,,307,336,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00035,C_FORWARD_RECOVERY,diagnostic_only,GM_RM011,GM_RM011:PV004,,59,59,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00036,C_FORWARD_RECOVERY,diagnostic_only,GM_RM011,GM_RM011:PV004,,64,87,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00037,C_FORWARD_RECOVERY,development,GM_RM011,GM_RM011:PV006,,120,122,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00038,C_FORWARD_RECOVERY,development,GM_RM011,GM_RM011:PV007,,150,150,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00039,C_FORWARD_RECOVERY,heldout_validation,GM_RM011,GM_RM011:PV008,,162,162,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00040,C_FORWARD_RECOVERY,diagnostic_only,GM_RM011,GM_RM011:PV009,,168,187,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00041,C_FORWARD_RECOVERY,diagnostic_only,GM_RM011,GM_RM011:PV009,,192,196,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00042,C_FORWARD_RECOVERY,heldout_validation,GM_RM011,GM_RM011:PV013,,295,295,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00043,C_FORWARD_RECOVERY,heldout_validation,GM_RM011,GM_RM011:PV013,,301,301,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00044,C_FORWARD_RECOVERY,diagnostic_only,GM_RM011,GM_RM011:PV014,,307,336,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00045,D_BIDIRECTIONAL_CONTROLLED,diagnostic_only,GM_RM011,GM_RM011:PV004,,59,59,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00046,D_BIDIRECTIONAL_CONTROLLED,diagnostic_only,GM_RM011,GM_RM011:PV004,,64,87,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00047,D_BIDIRECTIONAL_CONTROLLED,development,GM_RM011,GM_RM011:PV006,,120,122,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00048,D_BIDIRECTIONAL_CONTROLLED,development,GM_RM011,GM_RM011:PV007,,150,150,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00049,D_BIDIRECTIONAL_CONTROLLED,heldout_validation,GM_RM011,GM_RM011:PV008,,162,162,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00050,D_BIDIRECTIONAL_CONTROLLED,diagnostic_only,GM_RM011,GM_RM011:PV009,,168,180,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00051,D_BIDIRECTIONAL_CONTROLLED,diagnostic_only,GM_RM011,GM_RM011:PV009,,192,196,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00052,D_BIDIRECTIONAL_CONTROLLED,heldout_validation,GM_RM011,GM_RM011:PV013,,295,295,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00053,D_BIDIRECTIONAL_CONTROLLED,heldout_validation,GM_RM011,GM_RM011:PV013,,301,301,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,medium,evaluation_only
P1F_EVAL_F00054,D_BIDIRECTIONAL_CONTROLLED,diagnostic_only,GM_RM011,GM_RM011:PV014,,307,336,visible_no_correct_subject_observation,Canonical vehicle is visible but no correct selected subject observation is available.,Observation sequence remains fragmented or incomplete.,high,evaluation_only
P1F_EVAL_F00055,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV002,GM_RM011:RS0003,4,4,mixed_subject_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00056,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0004,5,5,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00057,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0006,19,19,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00058,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0007,37,37,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00059,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0008,38,38,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00060,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV006,GM_RM011:RS0018,120,120,mixed_subject_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00061,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV006,GM_RM011:RS0018,121,121,mixed_subject_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00062,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV006,GM_RM011:RS0018,122,122,mixed_subject_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00063,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0025,143,143,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00064,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0026,144,144,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00065,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0027,145,145,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00066,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0029,147,147,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00067,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0028,147,147,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00068,B_MULTI_SOURCE_SELECTION,development,GM_RM011,GM_RM011:PV007,GM_RM011:RS0021,150,150,mixed_subject_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00069,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0031,154,154,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00070,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0036,197,197,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00071,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0037,210,210,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00072,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0039,216,216,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00073,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0040,217,217,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00074,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0041,233,233,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00075,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0042,234,234,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00076,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0043,237,237,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00077,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0044,238,238,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00078,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0044,239,239,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00079,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0045,240,240,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00080,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0046,241,241,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00081,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0046,242,242,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00082,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0047,247,247,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00083,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0048,248,248,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00084,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0050,250,250,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00085,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0052,260,260,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00086,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0053,261,261,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00087,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0046,267,267,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00088,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0046,268,268,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00089,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0046,269,269,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00090,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0046,270,270,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00091,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0056,282,282,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00092,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0057,283,283,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00093,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0059,305,305,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00094,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0060,306,306,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00095,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0057,316,316,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00096,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0061,341,341,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00097,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0062,351,351,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00098,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM011,,GM_RM011:RS0063,352,352,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00099,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0001,80,80,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00100,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0002,89,89,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00101,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0003,95,95,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00102,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0004,95,95,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00103,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0005,115,115,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00104,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0006,117,117,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00105,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0007,120,120,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00106,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0008,121,121,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
P1F_EVAL_F00107,B_MULTI_SOURCE_SELECTION,unassigned_runtime,GM_RM017,,GM_RM017:RS0008,122,122,non_vehicle_selected,Independent benchmark evaluation rejects the selected runtime observation.,The observation cannot enter a trusted multi-frame identity prototype.,high,evaluation_only
