case_id,sar_frame,channel,coordinate_family,positive_sample_count,background_sample_count,unresolved_sample_count,positive_median,background_median,unresolved_median,positive_minus_background_median,positive_vs_background_auc,score_interpretation
PV002_330_350,334,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.602896,0.545238,0.516181,0.057658,0.569014,independent_channel_metric_not_weighted_winner
PV002_330_350,334,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.535921,0.393341,0.450483,0.142581,0.652436,independent_channel_metric_not_weighted_winner
PV002_330_350,334,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.054054,0.054054,0.027027,0.000000,0.513965,independent_channel_metric_not_weighted_winner
PV002_330_350,334,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.420000,0.300000,0.360000,0.120000,0.594955,independent_channel_metric_not_weighted_winner
PV002_330_350,334,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.389830,0.254237,0.305085,0.135593,0.622168,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,0.962963,0.833333,0.888889,0.129630,0.777586,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.774648,0.859155,0.225352,0.808275,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.906977,0.790698,0.837209,0.116279,0.700550,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.538462,0.384615,0.461538,0.153846,0.639820,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.711111,0.533333,0.622222,0.177778,0.670705,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.777778,0.388889,0.500000,0.388889,0.758686,independent_channel_metric_not_weighted_winner
PV002_330_350,334,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.491749,independent_channel_metric_not_weighted_winner
PV002_330_350,339,display_raw_8bit,sar_display_px,3366,2837,20286,1.000000,0.787879,0.833333,0.212121,0.752802,independent_channel_metric_not_weighted_winner
PV002_330_350,339,display_local_contrast,sar_display_px,3366,2837,20286,0.606889,0.524807,0.489211,0.082082,0.580094,independent_channel_metric_not_weighted_winner
PV002_330_350,339,display_local_z,sar_display_px,3366,2837,20286,0.559260,0.521176,0.490681,0.038083,0.565845,independent_channel_metric_not_weighted_winner
PV002_330_350,339,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.594329,0.519089,0.490055,0.075240,0.575882,independent_channel_metric_not_weighted_winner
PV002_330_350,339,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.613345,0.417351,0.450600,0.195994,0.657227,independent_channel_metric_not_weighted_winner
PV002_330_350,339,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.020833,0.020833,0.020833,0.000000,0.521193,independent_channel_metric_not_weighted_winner
PV002_330_350,339,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.453125,0.312500,0.359375,0.140625,0.607790,independent_channel_metric_not_weighted_winner
PV002_330_350,339,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.447368,0.289474,0.302632,0.157895,0.620748,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,1.000000,0.851852,0.888889,0.148148,0.765698,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.816901,0.873239,0.183099,0.813663,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.930233,0.790698,0.837209,0.139535,0.742449,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.692308,0.461538,0.461538,0.230769,0.635277,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.866667,0.577778,0.622222,0.288889,0.682714,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.875000,0.388889,0.555556,0.486111,0.765331,independent_channel_metric_not_weighted_winner
PV002_330_350,339,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.487675,independent_channel_metric_not_weighted_winner
PV002_330_350,344,display_raw_8bit,sar_display_px,3366,2837,20286,0.953846,0.784615,0.830769,0.169231,0.730887,independent_channel_metric_not_weighted_winner
PV002_330_350,344,display_local_contrast,sar_display_px,3366,2837,20286,0.560028,0.532004,0.522992,0.028024,0.536515,independent_channel_metric_not_weighted_winner
PV002_330_350,344,display_local_z,sar_display_px,3366,2837,20286,0.557922,0.542954,0.534556,0.014968,0.535562,independent_channel_metric_not_weighted_winner
PV002_330_350,344,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.554187,0.533128,0.525941,0.021059,0.534412,independent_channel_metric_not_weighted_winner
PV002_330_350,344,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.572030,0.401182,0.446419,0.170849,0.650210,independent_channel_metric_not_weighted_winner
PV002_330_350,344,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.030612,0.040816,0.040816,-0.010204,0.517235,independent_channel_metric_not_weighted_winner
PV002_330_350,344,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.410448,0.328358,0.343284,0.082090,0.573272,independent_channel_metric_not_weighted_winner
PV002_330_350,344,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.417722,0.253165,0.291139,0.164557,0.648784,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,1.000000,0.851852,0.888889,0.148148,0.802921,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.816901,0.901408,0.183099,0.810851,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.906977,0.790698,0.837209,0.116279,0.709722,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.615385,0.384615,0.538462,0.230769,0.674843,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.866667,0.555556,0.666667,0.311111,0.713520,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.722222,0.472222,0.555556,0.250000,0.638972,independent_channel_metric_not_weighted_winner
PV002_330_350,344,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.487295,independent_channel_metric_not_weighted_winner
PV002_330_350,350,display_raw_8bit,sar_display_px,3366,2837,20286,0.983871,0.774194,0.822581,0.209677,0.759945,independent_channel_metric_not_weighted_winner
PV002_330_350,350,display_local_contrast,sar_display_px,3366,2837,20286,0.605301,0.531719,0.516576,0.073582,0.572326,independent_channel_metric_not_weighted_winner
PV002_330_350,350,display_local_z,sar_display_px,3366,2837,20286,0.583902,0.541629,0.529262,0.042272,0.557249,independent_channel_metric_not_weighted_winner
PV002_330_350,350,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.600248,0.528743,0.520177,0.071505,0.566691,independent_channel_metric_not_weighted_winner
PV002_330_350,350,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.617804,0.406040,0.446371,0.211764,0.673397,independent_channel_metric_not_weighted_winner
PV002_330_350,350,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.042553,0.063830,0.042553,-0.021277,0.519461,independent_channel_metric_not_weighted_winner
PV002_330_350,350,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.446154,0.338462,0.353846,0.107692,0.582716,independent_channel_metric_not_weighted_winner
PV002_330_350,350,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.428571,0.246753,0.298701,0.181818,0.656218,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,1.000000,0.851852,0.888889,0.148148,0.861214,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.830986,0.929577,0.169014,0.863005,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.953488,0.790698,0.790698,0.162791,0.722870,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.769231,0.461538,0.538462,0.307692,0.726901,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,1.000000,0.577778,0.711111,0.422222,0.761466,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.888889,0.500000,0.527778,0.388889,0.681812,independent_channel_metric_not_weighted_winner
PV002_330_350,350,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.483562,independent_channel_metric_not_weighted_winner
PV003_360_384,360,display_raw_8bit,sar_display_px,3366,2837,20286,0.847458,0.796610,0.796610,0.050847,0.558457,independent_channel_metric_not_weighted_winner
PV003_360_384,360,display_local_contrast,sar_display_px,3366,2837,20286,0.434627,0.530761,0.518474,-0.096134,0.421302,independent_channel_metric_not_weighted_winner
PV003_360_384,360,display_local_z,sar_display_px,3366,2837,20286,0.470010,0.535597,0.524722,-0.065588,0.432065,independent_channel_metric_not_weighted_winner
PV003_360_384,360,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.449284,0.532663,0.519606,-0.083378,0.433851,independent_channel_metric_not_weighted_winner
PV003_360_384,360,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.454981,0.418897,0.424436,0.036084,0.534600,independent_channel_metric_not_weighted_winner
PV003_360_384,360,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.022222,0.044444,0.022222,-0.022222,0.499210,independent_channel_metric_not_weighted_winner
PV003_360_384,360,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.350000,0.316667,0.333333,0.033333,0.521486,independent_channel_metric_not_weighted_winner
PV003_360_384,360,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.309859,0.281690,0.295775,0.028169,0.529098,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,0.862745,0.843137,0.862745,0.019608,0.580222,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,0.833333,0.803030,0.863636,0.030303,0.581728,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.790698,0.790698,0.813954,0.000000,0.554177,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.500000,0.400000,0.500000,0.100000,0.527958,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.388889,0.388889,0.472222,0.000000,0.511736,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.558140,0.534884,0.558140,0.023256,0.531535,independent_channel_metric_not_weighted_winner
PV003_360_384,360,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.499141,independent_channel_metric_not_weighted_winner
PV003_360_384,364,display_raw_8bit,sar_display_px,3366,2837,20286,0.925926,0.814815,0.814815,0.111111,0.658604,independent_channel_metric_not_weighted_winner
PV003_360_384,364,display_local_contrast,sar_display_px,3366,2837,20286,0.441904,0.514863,0.528294,-0.072960,0.450060,independent_channel_metric_not_weighted_winner
PV003_360_384,364,display_local_z,sar_display_px,3366,2837,20286,0.484366,0.515306,0.527306,-0.030940,0.474659,independent_channel_metric_not_weighted_winner
PV003_360_384,364,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.464951,0.516476,0.529297,-0.051525,0.465632,independent_channel_metric_not_weighted_winner
PV003_360_384,364,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.519437,0.441521,0.428732,0.077915,0.581122,independent_channel_metric_not_weighted_winner
PV003_360_384,364,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.048780,0.024390,0.048780,0.024390,0.510526,independent_channel_metric_not_weighted_winner
PV003_360_384,364,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.392857,0.339286,0.321429,0.053571,0.557734,independent_channel_metric_not_weighted_winner
PV003_360_384,364,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.363636,0.303030,0.303030,0.060606,0.555841,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,0.901961,0.862745,0.862745,0.039216,0.656986,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,0.924242,0.818182,0.833333,0.106061,0.687981,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.837209,0.790698,0.790698,0.046512,0.577955,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.600000,0.500000,0.500000,0.100000,0.599309,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.472222,0.444444,0.472222,0.027778,0.535491,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.674419,0.534884,0.534884,0.139535,0.613606,independent_channel_metric_not_weighted_winner
PV003_360_384,364,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.488739,independent_channel_metric_not_weighted_winner
PV003_360_384,372,display_raw_8bit,sar_display_px,3366,2837,20286,1.000000,0.822581,0.806452,0.177419,0.777779,independent_channel_metric_not_weighted_winner
PV003_360_384,372,display_local_contrast,sar_display_px,3366,2837,20286,0.663157,0.522102,0.521479,0.141055,0.597518,independent_channel_metric_not_weighted_winner
PV003_360_384,372,display_local_z,sar_display_px,3366,2837,20286,0.607294,0.534199,0.534028,0.073096,0.582547,independent_channel_metric_not_weighted_winner
PV003_360_384,372,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.651850,0.522117,0.524490,0.129733,0.593954,independent_channel_metric_not_weighted_winner
PV003_360_384,372,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.676303,0.430534,0.429622,0.245769,0.695134,independent_channel_metric_not_weighted_winner
PV003_360_384,372,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.062500,0.041667,0.041667,0.020833,0.532755,independent_channel_metric_not_weighted_winner
PV003_360_384,372,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.484375,0.328125,0.328125,0.156250,0.615180,independent_channel_metric_not_weighted_winner
PV003_360_384,372,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.493333,0.280000,0.293333,0.213333,0.654341,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,1.000000,0.862745,0.862745,0.137255,0.847020,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.833333,0.818182,0.166667,0.864190,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.906977,0.790698,0.790698,0.116279,0.689777,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,1.000000,0.500000,0.500000,0.500000,0.756192,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.888889,0.444444,0.472222,0.444444,0.719804,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.953488,0.534884,0.488372,0.418605,0.706355,independent_channel_metric_not_weighted_winner
PV003_360_384,372,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.477138,independent_channel_metric_not_weighted_winner
PV003_360_384,378,display_raw_8bit,sar_display_px,3366,2837,20286,1.000000,0.784314,0.803922,0.215686,0.779734,independent_channel_metric_not_weighted_winner
PV003_360_384,378,display_local_contrast,sar_display_px,3366,2837,20286,0.661013,0.533451,0.521155,0.127562,0.611374,independent_channel_metric_not_weighted_winner
PV003_360_384,378,display_local_z,sar_display_px,3366,2837,20286,0.607722,0.544581,0.532286,0.063141,0.594311,independent_channel_metric_not_weighted_winner
PV003_360_384,378,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.645414,0.534413,0.525246,0.111002,0.597672,independent_channel_metric_not_weighted_winner
PV003_360_384,378,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.644852,0.388252,0.427933,0.256600,0.704463,independent_channel_metric_not_weighted_winner
PV003_360_384,378,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.025641,0.051282,0.025641,-0.025641,0.523319,independent_channel_metric_not_weighted_winner
PV003_360_384,378,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.461538,0.288462,0.326923,0.173077,0.639030,independent_channel_metric_not_weighted_winner
PV003_360_384,378,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.475410,0.278689,0.295082,0.196721,0.646737,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,1.000000,0.862745,0.862745,0.137255,0.836225,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.833333,0.818182,0.166667,0.848895,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.906977,0.790698,0.790698,0.116279,0.688550,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.900000,0.500000,0.400000,0.400000,0.734525,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.944444,0.444444,0.472222,0.500000,0.768813,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.790698,0.511628,0.488372,0.279070,0.649138,independent_channel_metric_not_weighted_winner
PV003_360_384,378,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.477459,independent_channel_metric_not_weighted_winner
PV003_360_384,384,display_raw_8bit,sar_display_px,3366,2837,20286,0.961538,0.769231,0.788462,0.192308,0.739675,independent_channel_metric_not_weighted_winner
PV003_360_384,384,display_local_contrast,sar_display_px,3366,2837,20286,0.555347,0.530612,0.516429,0.024735,0.539629,independent_channel_metric_not_weighted_winner
PV003_360_384,384,display_local_z,sar_display_px,3366,2837,20286,0.544228,0.532942,0.519361,0.011286,0.538453,independent_channel_metric_not_weighted_winner
PV003_360_384,384,display_multiscale_highpass,sar_display_px,3366,2837,20286,0.555941,0.528797,0.517843,0.027144,0.539390,independent_channel_metric_not_weighted_winner
PV003_360_384,384,display_gradient_magnitude,sar_display_px,3366,2837,20286,0.579978,0.410590,0.425767,0.169388,0.651928,independent_channel_metric_not_weighted_winner
PV003_360_384,384,structure_ridge_laplacian,sar_display_px,3366,2837,20286,0.051282,0.025641,0.025641,0.025641,0.521171,independent_channel_metric_not_weighted_winner
PV003_360_384,384,structure_vertical_line_response,sar_display_px,3366,2837,20286,0.442308,0.326923,0.326923,0.115385,0.591467,independent_channel_metric_not_weighted_winner
PV003_360_384,384,structure_horizontal_line_response,sar_display_px,3366,2837,20286,0.409836,0.278689,0.295082,0.131148,0.613472,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_window_median_sar_display,sar_display_px,3366,2837,20286,0.941176,0.862745,0.862745,0.078431,0.749787,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_window_max_sar_display,sar_display_px,3366,2837,20286,1.000000,0.833333,0.803030,0.166667,0.742555,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_window_min_sar_display,sar_display_px,3366,2837,20286,0.883721,0.790698,0.790698,0.093023,0.659912,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_window_mad_sar_display,sar_display_px,3366,2837,20286,0.600000,0.500000,0.400000,0.100000,0.617208,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_positive_change_sar_display,sar_display_px,3366,2837,20286,0.777778,0.472222,0.444444,0.305556,0.705534,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_negative_change_sar_display,sar_display_px,3366,2837,20286,0.558140,0.511628,0.488372,0.046512,0.525976,independent_channel_metric_not_weighted_winner
PV003_360_384,384,temporal_local_frequency_sar_display,sar_display_px,3366,2837,20286,0.000000,0.000000,0.000000,0.000000,0.486811,independent_channel_metric_not_weighted_winner
