scene,canonical_vehicle_id,optical_first_visible,optical_last_visible,visible_duration_optical_frames,full_visible_duration,partial_visible_duration,fully_occluded_duration,visible_but_unboxed_duration,entry_frame,entry_location,entry_direction,exit_frame,exit_location,exit_direction,max_simultaneously_visible_vehicles,overlap_optical_frame_ranges,vehicle_color,vehicle_type_or_shape,scale_trend,dominant_apparent_motion,optical_bbox_available_fraction,depth_proxy_available_fraction,calibration_independence,mapping_uncertainty,mapped_sar_lifecycle_start,mapped_sar_lifecycle_end,mapped_sar_pre_roll_start,mapped_sar_post_roll_end,sampled_shell_valid_fraction_mean,sampled_shell_valid_fraction_min,suitable_clear_mechanism_discovery,suitable_cross_scene_replay,suitable_entry_exit,suitable_multivehicle_occlusion_stress,selection_status,selection_reason,target_sar_reference_used_for_inventory_or_selection,candidate_roles
GM_RM011,GM_RM011:PV011,243,266,24,1,23,0,0,243,left_boundary,camera_sweep_reveal_or_scene_entry,266,right_boundary,camera_sweep_hide_or_scene_exit,2,243-245;262-266,white,sleek sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,507,554,499,574,1.0,1.0,false,false,false,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV012,262,292,31,2,29,0,0,262,left_boundary,camera_sweep_reveal_or_scene_entry,292,right_boundary,camera_sweep_hide_or_scene_exit,2,262-266;284-292,white,sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,546,608,538,628,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV013,284,315,32,9,23,0,2,284,left_boundary,camera_sweep_reveal_or_scene_entry,315,right_boundary,camera_sweep_hide_or_scene_exit,2,284-292;307-315,white,SUV/crossover,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,592,656,584,676,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM011,GM_RM011:PV014,307,336,30,0,30,0,30,307,left_boundary,camera_sweep_reveal_or_scene_entry,336,right_boundary,camera_sweep_hide_or_scene_exit,2,307-315,silver cover,fully covered passenger vehicle,not_available_without_p1c_box,stationary_world; apparent_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,640,700,632,720,1.0,1.0,false,false,true,true,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE;MULTI_VEHICLE_OR_OCCLUSION_STRESS_CANDIDATE
GM_RM017,GM_RM017:PV001,118,164,47,31,16,0,0,118,left_boundary,camera_sweep_reveal_or_scene_entry,164,right_boundary,camera_sweep_hide_or_scene_exit,4,145-164,white,box truck,increasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,INDEPENDENT_TARGET_FROM_PV004_CALIBRATION,INDEPENDENT_PV004_SAME_SCENE_PROXY,246,341,238,361,1.0,1.0,true,false,true,false,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,MECHANISM_DISCOVERY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE
GM_RM017,GM_RM017:PV002,145,185,41,20,21,0,0,145,left_boundary,camera_sweep_reveal_or_scene_entry,185,right_boundary,camera_sweep_hide_or_scene_exit,4,145-185,dark gray,leading sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,INDEPENDENT_TARGET_FROM_PV004_CALIBRATION,INDEPENDENT_PV004_SAME_SCENE_PROXY,303,385,295,405,1.0,1.0,true,false,true,false,SELECTED_MECHANISM_DISCOVERY,same-scene independent PV004 calibration; complete optical lifecycle; inherits S1X evidence but runs the new dynamic method over natural entry and exit,false,MECHANISM_DISCOVERY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE
GM_RM017,GM_RM017:PV003,151,200,50,27,23,0,0,151,left_boundary,camera_sweep_reveal_or_scene_entry,200,right_boundary,camera_sweep_hide_or_scene_exit,4,151-200,white,SUV,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,INDEPENDENT_TARGET_FROM_PV004_CALIBRATION,INDEPENDENT_PV004_SAME_SCENE_PROXY,315,416,307,436,1.0,1.0,true,false,true,false,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,MECHANISM_DISCOVERY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE
GM_RM017,GM_RM017:PV004,162,214,53,33,20,0,0,162,left_boundary,camera_sweep_reveal_or_scene_entry,214,right_boundary,camera_sweep_hide_or_scene_exit,4,162-200,dark gray,trailing sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CALIBRATION_VEHICLE_NOT_INDEPENDENT,INDEPENDENT_PV004_SAME_SCENE_PROXY,338,445,330,465,1.0,1.0,false,false,true,false,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,ENTRY_EXIT_LIFECYCLE_CANDIDATE
GM_RM019,GM_RM019:PV001,0,14,15,1,14,0,0,0,initial_frame_or_interior,camera_sweep_reveal_or_scene_entry,14,right_boundary,camera_sweep_hide_or_scene_exit,2,5-14,black,sedan,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,0,29,0,49,1.0,1.0,false,false,false,false,INVENTORIED_NOT_SELECTED,pending target-reference-free direct review,false,
GM_RM019,GM_RM019:PV002,5,43,39,4,35,0,0,5,left_boundary,camera_sweep_reveal_or_scene_entry,43,right_boundary,camera_sweep_hide_or_scene_exit,2,5-14,white,MPV,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,11,89,3,109,1.0,1.0,false,true,true,false,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,CROSS_SCENE_FROZEN_REPLAY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE
GM_RM019,GM_RM019:PV003,98,143,46,6,40,0,0,98,left_boundary,camera_sweep_reveal_or_scene_entry,143,right_boundary,camera_sweep_hide_or_scene_exit,1,,silver,MPV,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,205,297,197,317,1.0,1.0,false,true,true,false,SELECTED_CROSS_SCENE_FROZEN_REPLAY;ENTRY_EXIT_LIFECYCLE_CASE,different scene; isolated 46-frame optical lifecycle; no simultaneously visible canonical vehicle; post-roll reaches the following PV004 entry without manual cropping,false,CROSS_SCENE_FROZEN_REPLAY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE
GM_RM019,GM_RM019:PV004,149,183,35,1,34,0,0,149,left_boundary,camera_sweep_reveal_or_scene_entry,183,right_boundary,camera_sweep_hide_or_scene_exit,1,,gray,SUV,decreasing,stationary_world; apparent_left_to_right_from_camera_sweep,1.0,1.0,CROSS_SCENE_PROXY_TARGET_NOT_IN_CALIBRATION,CROSS_SCENE_UNVALIDATED_PV004_PROXY,311,381,303,401,1.0,1.0,false,true,true,false,DIRECTLY_REVIEWED_NOT_SELECTED,retained in complete inventory; selected set covers required roles with clearer separation or stronger prescribed stress,false,CROSS_SCENE_FROZEN_REPLAY_CANDIDATE;ENTRY_EXIT_LIFECYCLE_CANDIDATE
