scene,frame_index,runtime_observation_cluster_id,runtime_local_subject_id,observation_ids,detector_sources,source_tracker_ids,cluster_bbox,consensus_bbox,source_support_count,mutual_iou_min,union_expansion_ratio,color_distance_max,temporal_support_previous,temporal_support_next,multiple_motion_subject_risk,partial_subject_risk,possible_non_vehicle_risk,baseline_b_selected_observation_id,final_selected_observation_id,cluster_quality_evidence,notes
GM_RM011,4,GM_RM011:RC00011,GM_RM011:RS0001,GM_RM011:YOLO26l:GM_RM011_000004_001,YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[3.366,199.798,559.398,594.92]","[3.366,199.798,559.398,594.92]",1,1.000000,1.000000,0.000000,0.920205,0.981917,false,false,false,GM_RM011:YOLO26l:GM_RM011_000004_001,GM_RM011:YOLO26l:GM_RM011_000004_001,"{""vehicle_likeness"":0.873101,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":false,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,5,GM_RM011:RC00012,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000005_001;GM_RM011:YOLO26l:GM_RM011_000005_001,YOLO11l;YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[1.212,231.221,673.658,595.423]","[5.924,232.524,607.95,512.12]",2,0.218091,1.181306,0.099805,0.981917,0.984882,false,true,false,GM_RM011:YOLO26l:GM_RM011_000005_001,GM_RM011:YOLO26l:GM_RM011_000005_001,"{""vehicle_likeness"":0.851238,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,5,GM_RM011:RC00013,GM_RM011:RS0004,GM_RM011:YOLO26l:GM_RM011_000005_002,YOLO26l,,"[761.942,309.292,799.792,399.685]","[761.942,309.292,799.792,399.685]",1,1.000000,1.000000,0.000000,0.000000,0.000000,false,true,false,GM_RM011:YOLO26l:GM_RM011_000005_002,GM_RM011:YOLO26l:GM_RM011_000005_002,"{""vehicle_likeness"":0.526881,""track_median_vehicle_likeness"":0.526881,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,6,GM_RM011:RC00014,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000006_001;GM_RM011:YOLO26l:GM_RM011_000006_001,YOLO11l;YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[0.451,264.351,675.75,597.379]","[9.703,264.842,625.546,518.392]",2,0.241278,1.150535,0.113709,0.984882,0.989557,false,true,false,GM_RM011:YOLO26l:GM_RM011_000006_001,GM_RM011:YOLO26l:GM_RM011_000006_001,"{""vehicle_likeness"":0.845992,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,7,GM_RM011:RC00015,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000007_001;GM_RM011:YOLO11l:GM_RM011_000007_002;GM_RM011:YOLO11l:GM_RM011_000007_003;GM_RM011:YOLO26l:GM_RM011_000007_001,YOLO11l;YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[0.451,307.885,755.341,598.024]","[13.82,308.55,620.696,501.98]",2,0.265976,1.309558,0.102266,0.989557,0.984399,false,true,false,GM_RM011:YOLO26l:GM_RM011_000007_001,GM_RM011:YOLO26l:GM_RM011_000007_001,"{""vehicle_likeness"":0.822585,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,8,GM_RM011:RC00016,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000008_001;GM_RM011:YOLO11l:GM_RM011_000008_002;GM_RM011:YOLO11l:GM_RM011_000008_003;GM_RM011:YOLO26l:GM_RM011_000008_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0007;YOLO11l:bytetrack:bt_0007;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[0.0,309.388,783.352,597.619]","[19.648,310.514,646.605,512.69]",2,0.249668,1.315832,0.110881,0.984399,0.975749,false,true,false,GM_RM011:YOLO26l:GM_RM011_000008_001,GM_RM011:YOLO26l:GM_RM011_000008_001,"{""vehicle_likeness"":0.89418,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,9,GM_RM011:RC00017,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000009_001;GM_RM011:YOLO11l:GM_RM011_000009_002;GM_RM011:YOLO26l:GM_RM011_000009_001;GM_RM011:YOLO26l:GM_RM011_000009_002;GM_RM011:YOLO26l:GM_RM011_000009_003,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0007;YOLO11l:bytetrack:bt_0007;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[1.766,306.07,778.137,597.894]","[58.735,307.034,681.489,552.055]",2,0.285753,1.276729,0.162850,0.975749,0.966284,false,true,false,GM_RM011:YOLO26l:GM_RM011_000009_001,GM_RM011:YOLO26l:GM_RM011_000009_001,"{""vehicle_likeness"":0.887592,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,10,GM_RM011:RC00018,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000010_001;GM_RM011:YOLO11l:GM_RM011_000010_002;GM_RM011:YOLO11l:GM_RM011_000010_003;GM_RM011:YOLO11l:GM_RM011_000010_004;GM_RM011:YOLO26l:GM_RM011_000010_001;GM_RM011:YOLO26l:GM_RM011_000010_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0007;YOLO11l:bytetrack:bt_0007;YOLO26l:botsort:bs_0001;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001;YOLO26l:bytetrack:bt_0004,"[2.315,283.987,800.0,597.693]","[124.916,287.043,736.585,544.011]",2,0.248233,1.328653,0.202872,0.966284,0.986339,false,true,false,GM_RM011:YOLO26l:GM_RM011_000010_001,GM_RM011:YOLO26l:GM_RM011_000010_001,"{""vehicle_likeness"":0.868116,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,11,GM_RM011:RC00019,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000011_001;GM_RM011:YOLO26l:GM_RM011_000011_001;GM_RM011:YOLO26l:GM_RM011_000011_002,YOLO11l;YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001;YOLO26l:bytetrack:bt_0004,"[67.034,239.828,800.0,598.705]","[147.433,242.056,749.037,549.526]",2,0.276707,1.204774,0.171022,0.986339,0.979197,false,true,false,GM_RM011:YOLO26l:GM_RM011_000011_001,GM_RM011:YOLO26l:GM_RM011_000011_001,"{""vehicle_likeness"":0.840379,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,12,GM_RM011:RC00020,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000012_001;GM_RM011:YOLO26l:GM_RM011_000012_001;GM_RM011:YOLO26l:GM_RM011_000012_002,YOLO11l;YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[118.625,232.907,797.698,598.625]","[184.083,234.314,767.081,595.711]",2,0.679813,1.122012,0.038900,0.979197,0.989445,false,true,false,GM_RM011:YOLO26l:GM_RM011_000012_001,GM_RM011:YOLO26l:GM_RM011_000012_001,"{""vehicle_likeness"":0.821275,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,13,GM_RM011:RC00021,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000013_001;GM_RM011:YOLO26l:GM_RM011_000013_001;GM_RM011:YOLO26l:GM_RM011_000013_002;GM_RM011:YOLO26l:GM_RM011_000013_003,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[22.715,252.564,798.545,597.805]","[172.466,253.111,751.328,596.541]",2,0.451248,1.288518,0.090087,0.989445,0.991342,false,true,false,GM_RM011:YOLO26l:GM_RM011_000013_001,GM_RM011:YOLO26l:GM_RM011_000013_001,"{""vehicle_likeness"":0.861658,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,14,GM_RM011:RC00022,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000014_001;GM_RM011:YOLO26l:GM_RM011_000014_001;GM_RM011:YOLO26l:GM_RM011_000014_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001,"[84.443,263.124,798.507,598.141]","[185.59,267.224,765.006,596.273]",2,0.586487,1.189704,0.055066,0.991342,0.991553,false,true,false,GM_RM011:YOLO26l:GM_RM011_000014_001,GM_RM011:YOLO26l:GM_RM011_000014_001,"{""vehicle_likeness"":0.890298,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,15,GM_RM011:RC00023,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000015_001;GM_RM011:YOLO26l:GM_RM011_000015_001;GM_RM011:YOLO26l:GM_RM011_000015_002;GM_RM011:YOLO26l:GM_RM011_000015_003,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001,"[111.082,276.684,798.659,597.142]","[203.473,277.777,778.485,595.821]",2,0.658055,1.112576,0.056576,0.991553,0.980328,false,true,false,GM_RM011:YOLO26l:GM_RM011_000015_001,GM_RM011:YOLO26l:GM_RM011_000015_001,"{""vehicle_likeness"":0.872308,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,16,GM_RM011:RC00024,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000016_001;GM_RM011:YOLO26l:GM_RM011_000016_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0004;YOLO26l:bytetrack:bt_0001,"[242.751,283.125,798.675,596.521]","[253.543,286.402,796.518,594.609]",2,0.913362,1.023817,0.004209,0.980328,0.991710,false,true,false,GM_RM011:YOLO26l:GM_RM011_000016_001,GM_RM011:YOLO26l:GM_RM011_000016_001,"{""vehicle_likeness"":0.889202,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,17,GM_RM011:RC00025,GM_RM011:RS0005,GM_RM011:YOLO26l:GM_RM011_000017_001;GM_RM011:YOLO26l:GM_RM011_000017_002;GM_RM011:YOLO26l:GM_RM011_000017_003,YOLO26l,YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0004,"[201.261,298.04,795.759,597.029]","[233.574,300.054,790.088,596.734]",1,0.855871,1.021164,0.027177,0.000000,0.000000,false,true,false,GM_RM011:YOLO26l:GM_RM011_000017_001,GM_RM011:YOLO26l:GM_RM011_000017_001,"{""vehicle_likeness"":0.861679,""track_median_vehicle_likeness"":0.861679,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,18,GM_RM011:RC00026,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000018_001;GM_RM011:YOLO26l:GM_RM011_000018_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:bytetrack:bt_0001,"[246.353,303.279,798.825,596.939]","[253.314,303.942,796.711,595.415]",2,0.943102,1.006307,0.007399,0.991710,0.993781,false,true,false,GM_RM011:YOLO26l:GM_RM011_000018_001,GM_RM011:YOLO26l:GM_RM011_000018_001,"{""vehicle_likeness"":0.917037,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,19,GM_RM011:RC00027,GM_RM011:RS0006,GM_RM011:YOLO11l:GM_RM011_000019_001;GM_RM011:YOLO26l:GM_RM011_000019_002,YOLO11l;YOLO26l,,"[0.166,298.249,87.721,580.195]","[0.294,298.789,87.384,579.617]",2,0.981698,1.008185,0.001329,0.000000,0.428534,false,true,false,GM_RM011:YOLO26l:GM_RM011_000019_002,GM_RM011:YOLO26l:GM_RM011_000019_002,"{""vehicle_likeness"":0.553692,""track_median_vehicle_likeness"":0.903148,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,19,GM_RM011:RC00028,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000019_002;GM_RM011:YOLO26l:GM_RM011_000019_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[248.712,284.47,797.227,596.891]","[249.556,285.952,796.929,595.296]",2,0.973317,1.000972,0.004258,0.993781,0.986259,false,true,false,GM_RM011:YOLO26l:GM_RM011_000019_001,GM_RM011:YOLO26l:GM_RM011_000019_001,"{""vehicle_likeness"":0.883838,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,20,GM_RM011:RC00029,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000020_001;GM_RM011:YOLO26l:GM_RM011_000020_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[239.538,229.86,796.216,598.16]","[246.204,231.88,794.996,595.843]",2,0.950293,1.018919,0.010674,0.986259,0.979431,false,true,false,GM_RM011:YOLO26l:GM_RM011_000020_001,GM_RM011:YOLO26l:GM_RM011_000020_001,"{""vehicle_likeness"":0.884995,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,20,GM_RM011:RC00030,GM_RM011:RS0006,GM_RM011:YOLO11l:GM_RM011_000020_002;GM_RM011:YOLO26l:GM_RM011_000020_002;GM_RM011:YOLO26l:GM_RM011_000020_003,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0016;YOLO11l:bytetrack:bt_0016;YOLO26l:botsort:bs_0009;YOLO26l:bytetrack:bt_0009,"[0.34,266.43,103.535,591.511]","[0.389,267.176,103.134,589.986]",2,0.971604,1.004299,0.005449,0.428534,0.959860,false,true,false,GM_RM011:YOLO26l:GM_RM011_000020_002,GM_RM011:YOLO26l:GM_RM011_000020_002,"{""vehicle_likeness"":0.701303,""track_median_vehicle_likeness"":0.903148,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,21,GM_RM011:RC00031,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000021_001;GM_RM011:YOLO26l:GM_RM011_000021_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[273.358,158.112,799.268,594.043]","[280.593,160.277,798.431,593.974]",2,0.960316,1.000000,0.010985,0.979431,0.988297,false,true,false,GM_RM011:YOLO26l:GM_RM011_000021_001,GM_RM011:YOLO26l:GM_RM011_000021_001,"{""vehicle_likeness"":0.894251,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,21,GM_RM011:RC00032,GM_RM011:RS0006,GM_RM011:YOLO11l:GM_RM011_000021_002;GM_RM011:YOLO26l:GM_RM011_000021_002,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0016;YOLO11l:bytetrack:bt_0016;YOLO26l:botsort:bs_0009;YOLO26l:bytetrack:bt_0009,"[0.267,216.139,116.103,577.968]","[0.344,216.202,115.92,569.59]",2,0.949759,1.003215,0.010422,0.959860,0.983559,false,true,false,GM_RM011:YOLO26l:GM_RM011_000021_002,GM_RM011:YOLO26l:GM_RM011_000021_002,"{""vehicle_likeness"":0.784257,""track_median_vehicle_likeness"":0.903148,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
GM_RM011,22,GM_RM011:RC00033,GM_RM011:RS0001,GM_RM011:YOLO11l:GM_RM011_000022_001;GM_RM011:YOLO26l:GM_RM011_000022_001,YOLO11l;YOLO26l,YOLO11l:botsort:bs_0015;YOLO11l:bytetrack:bt_0015;YOLO26l:botsort:bs_0001;YOLO26l:bytetrack:bt_0001,"[319.363,158.099,798.966,593.804]","[321.448,162.954,798.597,593.654]",2,0.967377,1.000692,0.011663,0.988297,0.971680,false,true,false,GM_RM011:YOLO26l:GM_RM011_000022_001,GM_RM011:YOLO26l:GM_RM011_000022_001,"{""vehicle_likeness"":0.890604,""track_median_vehicle_likeness"":0.887006,""mixed_risk"":false,""partial_risk"":true,""possible_non_vehicle_risk"":false}",same_frame_alternatives_preserved;runtime_local_subject_not_physical_identity=true
