control_id,forward_case_id,scene,canonical_vehicle_id,control_type,control_center_x_px,control_center_y_px,control_radius_px,control_theta_deg,control_width_px,control_height_px,control_angle_deg,control_inside_forward_domain,control_excluded,scientific_role
G1C0011,G1F0003,GM_RM017,GM_RM017:PV002,ROTATED_90_DEG,1250.587000,1008.787000,335.995000,16.706284,162.497000,71.039000,87.000000,false,true,same-center 90-degree heading control
G1C0012,G1F0003,GM_RM017,GM_RM017:PV002,SAME_SIZE_WRONG_RADIAL_POSITION,1308.080108,817.228828,535.995000,16.706284,162.497000,71.039000,-3.000000,true,false,same-size location shifted +200 px radially
G1C0013,G1F0003,GM_RM017,GM_RM017:PV002,NEIGHBOR_VEHICLE_SWAP,925.484,882.000,503.450,-26.994208,166.226000,73.800000,-3.000000,false,true,neighbor=GM_RM017:PV004
G1C0014,G1F0003,GM_RM017,GM_RM017:PV002,NEIGHBOR_VEHICLE_SWAP,1090.856,942.248,393.452,-9.235176,176.842000,72.626000,-3.000000,false,true,neighbor=GM_RM017:PV003
G1C0015,G1F0004,GM_RM019,GM_RM019:PV001,SHIFTED_GT_POSITION,1437.387000,948.050000,476.080554,36.530464,145.813000,64.500000,1.000000,false,true,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0016,G1F0004,GM_RM019,GM_RM019:PV001,ROTATED_90_DEG,1177.387000,1198.050000,134.597000,10.006229,145.813000,64.500000,91.000000,false,true,same-center 90-degree heading control
G1C0017,G1F0004,GM_RM019,GM_RM019:PV001,SAME_SIZE_WRONG_RADIAL_POSITION,1212.137983,1001.092599,334.597000,10.006229,145.813000,64.500000,1.000000,true,false,same-size location shifted +200 px radially
G1C0018,G1F0013,GM_RM011,GM_RM011:PV002,SHIFTED_GT_POSITION,1532.217000,902.230000,571.444622,41.441970,145.119000,70.695000,48.000000,true,false,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0019,G1F0013,GM_RM011,GM_RM011:PV002,ROTATED_90_DEG,1272.217000,1152.230000,213.989000,33.534936,145.119000,70.695000,138.000000,true,false,same-center 90-degree heading control
G1C0020,G1F0013,GM_RM011,GM_RM011:PV002,SAME_SIZE_WRONG_RADIAL_POSITION,1382.706295,985.519832,413.989000,33.534936,145.119000,70.695000,48.000000,true,false,same-size location shifted +200 px radially
G1C0021,G1F0013,GM_RM011,GM_RM011:PV002,NEIGHBOR_VEHICLE_SWAP,1140.347,1244.238,87.435,-8.983562,136.103000,69.358000,-12.000000,false,true,neighbor=GM_RM011:PV001
G1C0022,G1F0014,GM_RM011,GM_RM011:PV002,SHIFTED_GT_POSITION,1555.522000,900.115000,588.674147,43.006281,78.740000,147.827000,-29.000000,true,false,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0023,G1F0014,GM_RM011,GM_RM011:PV002,ROTATED_90_DEG,1295.522000,1150.115000,229.354000,38.100724,78.740000,147.827000,61.000000,true,false,same-center 90-degree heading control
G1C0024,G1F0014,GM_RM011,GM_RM011:PV002,SAME_SIZE_WRONG_RADIAL_POSITION,1418.931091,992.729648,429.354000,38.100724,78.740000,147.827000,-29.000000,true,false,same-size location shifted +200 px radially
G1C0025,G1F0014,GM_RM011,GM_RM011:PV002,NEIGHBOR_VEHICLE_SWAP,1151.642,1246.802,83.831,-1.611826,131.942000,63.440000,1.000000,false,true,neighbor=GM_RM011:PV001
G1C0026,G1F0017,GM_RM011,GM_RM011:PV006,SHIFTED_GT_POSITION,1437.698000,946.245000,477.716779,36.431573,84.489000,185.464000,0.000000,false,true,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0027,G1F0017,GM_RM011,GM_RM011:PV006,ROTATED_90_DEG,1177.698000,1196.245000,136.429000,10.003139,84.489000,185.464000,90.000000,true,false,same-center 90-degree heading control
G1C0028,G1F0017,GM_RM011,GM_RM011:PV006,SAME_SIZE_WRONG_RADIAL_POSITION,1212.438434,999.285314,336.429000,10.003139,84.489000,185.464000,0.000000,true,false,same-size location shifted +200 px radially
G1C0029,G1F0017,GM_RM011,GM_RM011:PV006,NEIGHBOR_VEHICLE_SWAP,1095.270,1194.184,148.521,-23.292910,76.246000,185.464000,-2.000000,false,true,neighbor=GM_RM011:PV007
G1C0030,G1F0017,GM_RM011,GM_RM011:PV006,NEIGHBOR_VEHICLE_SWAP,1257.036,1199.336,166.873,38.130228,74.186000,171.039000,4.000000,false,true,neighbor=GM_RM011:PV005
G1C0031,G1F0020,GM_RM011,GM_RM011:PV007,SHIFTED_GT_POSITION,1340.936000,900.909000,468.593026,23.511329,79.429000,190.707000,2.000000,false,true,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0032,G1F0020,GM_RM011,GM_RM011:PV007,ROTATED_90_DEG,1080.936000,1150.909000,193.977000,-22.127108,79.429000,190.707000,92.000000,false,true,same-center 90-degree heading control
G1C0033,G1F0020,GM_RM011,GM_RM011:PV007,SAME_SIZE_WRONG_RADIAL_POSITION,1005.603605,965.639199,393.977000,-22.127108,79.429000,190.707000,2.000000,true,false,same-size location shifted +200 px radially
G1C0034,G1F0020,GM_RM011,GM_RM011:PV007,NEIGHBOR_VEHICLE_SWAP,1233.520,1202.427,150.837,31.815939,71.368000,156.614000,2.000000,false,true,neighbor=GM_RM011:PV006
G1C0035,G1F0021,GM_RM011,GM_RM011:PV007,SHIFTED_GT_POSITION,1527.660000,959.040000,526.952208,45.161457,70.111000,142.840000,9.000000,false,true,O2-provenance-matched GT x+260/y-250 wrong-distance control
G1C0036,G1F0021,GM_RM011,GM_RM011:PV007,ROTATED_90_DEG,1267.660000,1209.040000,166.419000,43.076411,70.111000,142.840000,99.000000,true,false,same-center 90-degree heading control
G1C0037,G1F0021,GM_RM011,GM_RM011:PV007,SAME_SIZE_WRONG_RADIAL_POSITION,1404.254322,1062.951615,366.419000,43.076411,70.111000,142.840000,9.000000,true,false,same-size location shifted +200 px radially
G1C0038,G1F0021,GM_RM011,GM_RM011:PV007,NEIGHBOR_VEHICLE_SWAP,1196.194,1196.731,140.361,17.494264,73.900000,163.084000,5.000000,true,false,neighbor=GM_RM011:PV008
G1C0039,O2_W1_DEVELOPMENT_PROVENANCE_RECHECK,GM_RM011,GM_RM011:PV001,O2_W1_ACTUAL_RED_POSITION,1415.377,998.565,422.569731,38.209720,135.333,64.847,-10,false,true,actual O2-R1 provenance control; development recheck only; not held-out support
G1C0040,O2_W1_DEVELOPMENT_PROVENANCE_RECHECK,GM_RM011,GM_RM011:PV001,O2_W1_ACTUAL_YELLOW_90_DEG,1155.377,1248.565,82.046556,0.961649,135.333,64.847,80,false,true,actual O2-R1 provenance control; development recheck only; not held-out support
